age,sex,educ,income,eastwest,happiness,health,lived_abroad
65,Female,5,900,East,h9,4,No
25,Female,3,1000,East,h7,4,No
56,Female,5,3000,West,h8,5,No
30,Female,5,1500,East,h9,4,No
58,Male,3,900,East,h7,2,No
58,Male,2,2000,West,h8,4,No
57,Male,2,350,East,h5,1,No
65,Female,5,2125,East,h9,4,No
78,Female,2,1200,East,h7,4,No
34,Male,3,1300,East,h7,4,No
60,Male,5,4300,West,h10,5,Yes
49,Female,2,1100,West,h5,4,No
42,Female,3,1500,East,h10,3,No
51,Female,3,1300,East,h7,3,No
48,Female,3,1200,East,h10,2,No
39,Female,4,2259,East,h7,4,Yes
65,Male,3,804,East,h8,4,No
72,Male,2,3300,West,h8,1,No
56,Male,3,640,East,h0,1,No
28,Male,3,1900,West,h9,4,No
44,Female,2,1100,West,h3,2,No
25,Male,3,2000,West,h9,4,No
18,Male,3,440,East,h8,3,No
28,Male,3,2000,West,h3,4,No
56,Male,5,3500,West,h9,4,No
48,Female,3,450,West,h8,4,No
40,Female,4,1700,West,h9,3,No
82,Male,2,1500,West,h10,3,No
25,Male,3,1600,West,h8,4,No
84,Female,2,1400,East,h9,2,No
53,Female,3,1800,West,h9,4,No
20,Female,5,1400,East,h8,5,Yes
40,Male,2,4000,West,h8,4,No
18,Female,2,450,West,h0,1,No
76,Female,2,1800,East,h7,2,No
63,Female,3,1875,East,h9,4,No
58,Male,3,3500,West,h7,3,No
55,Female,3,1000,West,h9,4,No
66,Male,2,3000,West,h8,3,No
20,Female,5,800,West,h8,4,No
48,Male,5,3000,East,h9,4,No
80,Male,2,2000,West,h10,4,Yes
61,Female,4,1500,West,h5,3,Yes
72,Male,4,1500,East,h5,4,No
65,Female,5,1500,East,h8,5,No
32,Male,2,2250,West,h10,4,No
58,Male,2,1400,West,h0,3,No
48,Male,3,1200,East,h8,3,No
29,Male,5,2500,West,h9,5,No
66,Male,3,563,East,h7,3,No
68,Male,3,1600,West,h6,3,No
52,Female,5,2500,West,h8,4,No
33,Male,5,3400,West,h10,5,Yes
73,Female,3,1300,West,h8,3,No
34,Male,5,100,West,h7,2,Yes
54,Female,5,500,West,h10,3,No
46,Male,3,2300,West,h9,4,No
67,Male,3,1200,East,h9,4,No
33,Male,5,2375,West,h8,4,No
48,Male,3,2700,West,h7,2,Yes
40,Male,5,5200,East,h5,3,No
40,Female,5,1187,West,h10,3,No
35,Female,5,1900,East,h8,3,No
83,Female,2,1400,West,h8,1,No
76,Female,5,1260,East,h8,3,No
73,Male,3,850,East,h3,3,No
39,Female,5,3500,West,h6,4,No
43,Male,3,1100,West,h7,3,No
81,Male,2,1221,East,h8,3,No
20,Male,3,700,West,h8,3,No
37,Male,4,4200,West,h9,5,Yes
54,Male,4,3550,West,h8,4,No
67,Male,3,2500,East,h8,4,No
64,Female,2,2000,West,h8,4,No
76,Male,5,1063,East,h6,4,Yes
40,Female,3,700,East,h6,3,No
57,Male,3,2000,East,h8,4,No
64,Female,2,1260,West,h5,2,No
41,Female,3,625,West,h7,3,No
74,Male,2,1800,West,h10,5,No
48,Female,3,1600,West,h5,2,Yes
29,Male,5,800,West,h9,5,No
30,Male,5,1700,East,h8,4,No
75,Female,2,900,West,h8,4,No
43,Female,3,2100,West,h8,4,No
27,Female,5,1400,East,h8,4,No
71,Male,2,720,West,h5,4,No
29,Female,5,650,East,h8,5,No
54,Male,3,724,West,h0,1,Yes
50,Male,3,3000,West,h9,5,No
73,Female,2,110,West,h6,3,No
22,Male,3,500,West,h10,5,Yes
44,Female,5,1063,West,h10,5,No
54,Male,5,6000,West,h9,4,Yes
47,Female,5,3200,West,h9,4,No
27,Female,4,2100,West,h8,5,No
35,Female,2,2000,West,h10,4,No
66,Female,5,875,West,h7,3,Yes
61,Male,3,2375,West,h8,3,No
75,Female,2,900,West,h5,3,No
48,Female,2,700,West,h10,5,No
48,Male,5,3800,East,h8,4,No
82,Female,2,1100,East,h7,4,No
48,Male,5,2200,East,h7,4,Yes
39,Female,5,1188,West,h10,5,No
31,Male,2,1625,East,h3,3,No
73,Female,2,291,West,h9,4,No
20,Male,4,700,West,h9,4,No
53,Female,5,2800,East,h10,5,No
75,Female,2,1200,East,h5,3,No
31,Male,3,1600,West,h10,5,Yes
24,Female,5,180,West,h8,5,No
26,Male,5,400,East,h10,5,No
30,Female,5,2080,East,h9,3,Yes
51,Male,5,4000,West,h7,2,Yes
25,Male,2,1400,West,h7,4,No
52,Male,5,2500,West,h9,4,No
45,Female,5,1800,West,h7,3,Yes
68,Male,5,3100,West,h10,5,Yes
27,Female,5,400,West,h7,5,Yes
31,Female,5,1600,West,h9,4,No
42,Female,3,1063,West,h8,3,No
76,Male,2,1200,West,h6,3,No
52,Female,3,1800,West,h8,4,No
48,Female,3,1188,East,h9,4,No
65,Male,3,2625,West,h7,3,No
40,Male,3,2000,West,h6,2,No
48,Male,3,3000,West,h9,5,No
54,Male,3,2875,West,h10,5,No
34,Female,5,1500,East,h7,4,No
53,Female,2,1000,West,h8,3,No
60,Male,5,3400,West,h8,3,No
34,Female,3,1313,East,h9,4,No
88,Male,5,3000,West,h10,5,No
44,Male,3,3200,West,h9,4,No
86,Male,3,1700,East,h7,3,No
67,Female,2,450,West,h10,4,No
53,Female,4,1200,East,h7,3,No
85,Female,2,1450,West,h4,1,No
46,Male,5,2800,West,h8,4,No
59,Male,3,2375,West,h9,3,No
74,Male,2,1150,East,h8,5,No
51,Male,2,1700,West,h10,3,No
57,Female,3,2375,West,h6,3,No
61,Female,4,1700,West,h9,3,No
29,Female,5,4000,West,h9,4,Yes
90,Male,2,1800,West,h8,3,No
49,Male,5,1200,West,h7,4,No
82,Male,3,1600,West,h8,3,Yes
78,Female,2,1500,West,h5,2,No
39,Male,2,1400,West,h6,3,Yes
52,Male,3,3000,West,h9,5,No
65,Female,3,500,West,h10,4,No
69,Female,4,900,East,h8,4,No
52,Male,5,4200,West,h9,5,No
80,Male,2,1800,West,h8,2,Yes
73,Female,3,1300,West,h8,3,No
29,Male,3,2000,East,h9,5,No
39,Male,5,1200,West,h7,4,No
61,Female,2,420,West,h8,4,No
51,Female,5,1900,West,h9,5,No
56,Male,5,1875,East,h9,4,No
63,Male,3,1000,East,h10,3,No
42,Female,5,2400,West,h8,2,No
32,Female,2,700,West,h6,4,No
73,Female,3,813,East,h8,4,Yes
80,Female,2,1400,West,h6,1,No
32,Female,5,3200,West,h9,4,Yes
50,Female,3,1400,West,h6,3,No
79,Female,2,920,East,h6,4,No
45,Male,3,1500,East,h3,3,No
54,Female,4,2100,West,h6,3,Yes
66,Female,3,1800,West,h8,3,No
76,Female,5,30,West,h10,5,Yes
50,Male,3,1600,East,h7,4,No
28,Female,3,1800,West,h10,5,No
80,Female,5,1200,West,h9,5,No
53,Male,2,1500,West,h10,4,No
80,Female,2,900,East,h5,2,No
39,Female,3,800,West,h7,3,Yes
65,Male,2,1800,West,h8,4,No
29,Female,3,1100,East,h6,5,No
59,Female,3,1300,East,h8,5,No
61,Male,2,830,West,h7,1,No
53,Male,4,3500,West,h9,4,No
56,Female,2,2500,West,h9,4,No
36,Male,3,1680,East,h8,3,No
38,Male,3,1600,East,h8,4,No
49,Male,2,2625,West,h7,2,No
81,Male,2,1500,West,h6,4,No
50,Female,3,1200,West,h8,5,No
34,Female,5,630,East,h3,1,No
46,Male,5,3000,West,h8,3,No
23,Male,5,400,East,h8,5,Yes
39,Female,3,700,West,h7,4,No
45,Male,3,2700,East,h8,3,No
35,Female,5,2800,West,h10,5,Yes
54,Male,4,1800,West,h9,3,Yes
53,Male,3,1500,East,h9,4,No
66,Female,3,240,West,h9,3,No
50,Female,5,3100,West,h8,3,No
56,Female,3,730,West,h1,1,No
54,Female,3,600,West,h8,5,No
77,Female,2,1400,East,h10,5,No
78,Male,3,1200,East,h7,2,No
68,Male,3,2200,West,h9,4,No
63,Female,2,700,West,h8,3,No
32,Female,3,750,West,h9,5,No
20,Female,5,400,West,h9,5,No
20,Male,3,270,West,h8,3,No
59,Male,3,1100,West,h9,4,No
75,Female,5,2600,West,h10,4,Yes
26,Female,5,450,West,h9,3,No
76,Male,5,2500,East,h7,2,No
26,Female,5,120,West,h7,5,No
56,Female,5,2500,West,h10,4,No
71,Female,3,1188,West,h8,4,No
54,Male,3,415,East,h8,4,No
84,Female,3,1397,East,h8,3,No
74,Male,2,905,East,h10,4,No
56,Male,4,600,West,h5,3,No
65,Male,1,1050,East,h5,3,No
41,Male,5,2800,East,h8,4,No
48,Female,5,4000,East,h8,5,Yes
39,Male,3,2000,West,h10,5,Yes
59,Male,5,2500,West,h3,4,No
26,Female,4,400,West,h8,3,No
66,Male,5,3400,West,h8,4,No
35,Female,3,1800,West,h5,2,No
53,Female,3,450,East,h8,3,No
46,Male,5,4000,West,h8,5,Yes
73,Female,5,350,West,h8,3,No
58,Female,2,1500,West,h4,2,No
49,Male,5,3100,East,h8,4,No
33,Male,5,6250,East,h9,5,Yes
52,Male,2,3500,West,h8,4,No
53,Male,3,350,West,h4,2,No
74,Female,2,1200,East,h8,4,No
71,Male,2,1625,West,h5,3,No
48,Female,5,2400,West,h8,3,No
28,Female,5,450,West,h9,5,Yes
79,Male,5,1600,East,h9,5,Yes
28,Male,3,1500,East,h10,5,No
40,Male,3,1700,East,h3,4,No
64,Female,5,50,East,h10,5,Yes
57,Female,2,1200,West,h10,3,No
65,Female,3,1100,East,h8,4,No
79,Female,2,980,East,h8,4,No
44,Male,3,4500,West,h8,4,No
21,Female,5,550,West,h10,5,No
24,Female,5,1300,West,h7,4,No
52,Female,3,1500,West,h8,4,No
49,Male,5,4000,West,h10,5,Yes
44,Female,3,2900,West,h8,2,No
76,Male,4,1300,West,h3,4,No
53,Female,3,1700,West,h9,3,No
47,Male,3,2100,East,h8,4,No
74,Female,2,420,West,h8,2,No
42,Male,4,4800,West,h6,4,No
78,Female,3,600,West,h5,2,No
29,Male,3,800,West,h9,4,Yes
79,Male,2,1313,West,h10,4,Yes
67,Female,2,900,West,h5,3,No
40,Female,3,120,West,h7,3,No
51,Female,3,1100,East,h7,3,No
50,Female,4,1500,West,h4,3,No
71,Male,5,2400,West,h10,4,No
43,Female,2,900,West,h8,3,No
85,Male,2,1900,East,h6,3,No
47,Male,5,8750,West,h9,5,Yes
91,Female,2,1300,West,h8,4,No
20,Female,3,380,West,h8,4,No
65,Male,3,1063,West,h8,3,No
25,Male,5,3000,West,h9,5,No
72,Female,5,2500,West,h6,2,No
76,Male,2,1300,East,h10,1,No
20,Male,3,1400,West,h8,4,No
36,Female,5,600,West,h7,4,Yes
21,Male,4,450,West,h9,5,No
54,Female,3,1100,West,h9,5,No
69,Male,3,850,East,h5,2,No
73,Female,3,300,West,h10,4,No
21,Female,5,1577,West,h7,4,No
76,Male,2,1150,West,h8,4,No
19,Male,3,600,West,h10,5,No
46,Male,3,1800,East,h7,4,No
22,Male,5,600,East,h9,5,No
51,Female,5,800,West,h7,4,No
81,Male,2,1500,West,h10,2,No
51,Female,4,813,West,h9,4,No
72,Male,3,1400,West,h8,3,No
38,Male,5,1400,East,h9,4,No
23,Male,3,1063,East,h9,4,No
46,Female,5,1600,West,h10,5,No
47,Female,3,1000,East,h4,5,No
70,Male,2,690,West,h8,2,Yes
44,Female,5,700,West,h6,4,No
32,Male,2,1300,East,h3,4,Yes
84,Male,2,1200,East,h5,3,No
41,Female,3,700,West,h7,4,No
19,Male,5,450,West,h8,4,No
54,Male,3,2700,East,h8,4,No
47,Male,3,1600,East,h7,5,No
46,Female,5,2500,East,h9,4,No
30,Female,5,1313,West,h10,5,Yes
55,Male,5,5000,West,h9,5,No
52,Female,5,3500,East,h7,4,No
46,Male,5,2300,West,h9,5,No
36,Male,3,2125,East,h8,4,No
66,Male,4,2700,West,h9,3,No
31,Male,4,2950,West,h8,5,No
63,Female,3,700,West,h10,4,No
27,Female,5,400,East,h8,2,No
75,Male,3,2300,West,h7,2,No
24,Male,2,1300,West,h8,4,No
74,Male,2,1050,West,h4,2,No
53,Male,2,2200,East,h6,4,No
42,Male,5,2875,West,h8,3,No
31,Male,3,1000,East,h7,4,Yes
49,Female,5,1700,West,h8,3,No
57,Female,5,2125,West,h9,5,No
28,Male,5,1550,East,h8,5,No
23,Male,3,1500,West,h9,5,No
35,Female,3,1000,East,h7,4,No
33,Female,3,1050,East,h9,2,No
78,Female,3,680,West,h10,3,No
21,Female,3,800,West,h9,2,No
75,Male,5,1300,East,h8,4,No
45,Male,3,1550,East,h7,3,No
68,Male,5,3000,West,h8,3,No
24,Female,5,550,West,h6,5,No
45,Male,3,2375,East,h9,4,Yes
70,Male,2,638,East,h8,3,No
49,Male,3,2200,West,h8,3,No
54,Female,3,2000,East,h8,4,No
47,Female,3,1220,East,h8,4,No
83,Male,5,2300,West,h8,4,No
74,Male,2,1450,West,h4,4,No
28,Male,5,2800,East,h8,5,No
73,Female,2,960,East,h9,4,No
77,Female,2,440,West,h5,3,No
50,Female,5,3500,West,h8,3,No
65,Male,2,1650,West,h7,3,No
52,Female,5,1313,West,h9,4,No
20,Male,2,440,East,h7,4,No
35,Male,4,1500,East,h8,3,No
44,Female,5,1200,West,h9,4,Yes
65,Female,3,1300,East,h8,3,No
53,Female,5,1000,West,h9,2,No
78,Male,2,1950,East,h10,3,No
21,Female,5,800,West,h8,5,No
68,Male,2,1189,East,h5,5,No
19,Male,3,478,East,h9,5,No
44,Female,2,450,East,h5,4,No
47,Female,2,1000,West,h1,3,No
59,Female,2,1625,West,h8,5,No
71,Male,5,1200,East,h7,4,Yes
40,Male,5,3000,West,h8,4,No
78,Male,2,960,East,h6,3,No
20,Male,3,450,West,h9,4,No
61,Female,3,1875,East,h9,5,No
34,Female,3,1063,West,h5,3,No
32,Female,5,950,West,h8,4,Yes
59,Male,2,620,East,h6,1,No
46,Female,3,800,West,h9,4,No
50,Female,3,650,West,h8,3,No
78,Male,2,3000,West,h10,3,No
18,Female,3,580,West,h7,3,No
77,Male,3,1200,East,h5,2,No
48,Female,5,1500,West,h7,4,No
43,Female,3,2400,East,h8,4,No
82,Female,2,1200,East,h6,3,No
65,Female,2,1000,West,h8,3,Yes
77,Female,2,1000,West,h9,4,No
77,Male,3,1100,East,h8,3,Yes
54,Female,5,1000,West,h5,2,No
75,Male,3,970,East,h6,3,No
65,Female,3,850,East,h9,4,No
46,Male,2,2000,West,h9,4,No
64,Male,5,755,West,h10,4,Yes
73,Male,3,860,East,h5,2,No
69,Female,2,1800,West,h9,4,Yes
74,Male,3,850,West,h10,2,No
43,Female,2,400,West,h8,2,No
44,Male,3,1200,East,h6,3,No
29,Male,3,1438,East,h6,3,No
33,Female,4,827,East,h9,4,No
42,Female,5,364,West,h7,1,Yes
74,Female,2,580,East,h6,4,No
34,Female,5,2800,West,h8,4,No
26,Female,3,500,West,h10,5,No
23,Female,5,550,West,h9,5,No
52,Male,3,2100,East,h6,4,No
50,Female,3,1500,West,h9,4,No
49,Female,4,2096,West,h4,2,Yes
61,Male,5,1200,West,h9,4,No
32,Female,5,2375,West,h8,4,No
33,Male,5,1300,East,h8,4,No
38,Female,5,1200,West,h8,4,No
80,Male,2,1200,West,h5,4,Yes
56,Male,5,2125,East,h8,3,No
90,Male,2,1800,East,h5,1,No
38,Male,4,2500,West,h10,3,No
78,Female,2,1300,East,h8,3,Yes
67,Female,5,2400,West,h10,4,No
77,Male,3,1800,West,h10,3,No
46,Female,3,300,East,h8,4,No
56,Male,3,2125,West,h8,3,Yes
53,Male,3,2625,West,h7,4,No
28,Male,4,3300,East,h8,4,No
30,Female,3,800,West,h6,3,Yes
49,Male,3,1300,West,h8,2,No
65,Male,2,1000,East,h7,3,No
50,Male,2,2500,West,h7,3,No
57,Female,2,780,West,h8,2,No
30,Male,3,1600,West,h10,5,No
51,Male,2,720,West,h2,1,No
49,Male,5,4000,West,h8,4,No
45,Male,5,4600,West,h7,4,Yes
52,Male,2,1300,West,h3,4,No
53,Female,3,450,East,h2,1,No
43,Male,3,1188,East,h8,4,No
64,Male,2,1700,West,h8,4,No
64,Male,5,1900,East,h10,5,No
47,Male,5,4500,West,h9,5,No
29,Male,2,1600,East,h8,4,No
50,Female,3,1313,West,h5,3,No
63,Female,4,2500,West,h8,4,No
24,Female,5,500,West,h8,3,No
75,Male,2,1500,West,h8,4,No
80,Male,5,2000,East,h6,3,No
45,Male,3,688,West,h4,2,Yes
70,Female,2,320,West,h8,4,No
40,Male,5,1840,West,h7,4,No
63,Female,1,220,West,h10,3,No
32,Female,5,3400,West,h10,4,Yes
49,Female,2,700,West,h9,3,No
76,Male,2,2300,West,h9,3,No
40,Female,5,2000,East,h8,4,Yes
80,Female,3,938,West,h10,2,No
49,Male,3,3300,East,h8,4,No
23,Female,3,1500,West,h8,4,No
52,Female,3,2350,West,h9,5,No
61,Female,3,1063,West,h10,4,No
20,Female,5,720,West,h9,5,No
70,Male,3,615,East,h6,2,No
68,Male,3,2400,West,h7,3,No
26,Female,5,1620,West,h9,4,No
62,Female,4,1550,West,h7,3,Yes
56,Male,5,4250,East,h9,4,Yes
40,Female,3,1400,East,h6,2,No
28,Female,5,450,West,h8,5,No
59,Female,3,1650,East,h9,4,No
76,Male,2,1200,West,h9,2,No
47,Male,5,2125,West,h8,3,No
48,Male,3,8000,West,h9,3,No
59,Male,4,5000,West,h8,4,No
62,Female,2,1000,West,h9,5,No
20,Male,5,500,West,h10,5,No
34,Male,3,3000,East,h8,4,No
53,Male,4,4000,West,h7,4,No
56,Female,3,600,West,h9,4,Yes
59,Male,3,3450,West,h9,5,No
83,Male,3,2200,West,h10,4,No
25,Male,2,1600,West,h7,4,No
38,Male,5,3500,East,h9,3,Yes
86,Female,3,550,West,h6,3,No
27,Male,3,2000,West,h8,5,No
25,Female,3,1300,West,h8,4,No
78,Male,2,890,East,h7,3,No
42,Female,4,450,West,h9,5,No
51,Male,4,3200,West,h9,5,No
54,Female,3,1100,West,h7,4,No
63,Female,3,1450,East,h9,4,No
64,Male,5,2600,West,h9,5,Yes
47,Female,3,3000,West,h8,4,No
66,Male,3,600,East,h8,2,No
80,Male,2,1625,West,h10,2,Yes
57,Female,2,600,West,h10,2,No
61,Male,3,7500,West,h8,4,No
51,Female,3,2000,East,h5,5,Yes
44,Male,5,3300,West,h8,3,No
65,Male,3,2600,West,h8,3,No
52,Female,4,1100,West,h10,4,No
45,Female,5,1500,West,h10,4,No
80,Female,2,1000,East,h9,4,No
57,Female,3,800,West,h8,3,No
54,Female,3,1200,West,h10,5,Yes
49,Male,3,2000,East,h8,4,No
76,Male,5,6250,West,h10,4,Yes
52,Male,5,7500,West,h8,4,No
23,Male,3,700,West,h6,3,No
68,Male,5,1900,West,h7,4,Yes
42,Male,5,400,West,h8,4,Yes
72,Male,5,8000,West,h9,4,No
29,Female,5,800,West,h10,5,No
37,Female,5,563,West,h7,3,Yes
38,Female,5,3600,East,h8,5,No
66,Male,5,1200,East,h8,3,No
27,Female,5,2400,East,h6,4,No
35,Female,3,1300,West,h8,4,No
33,Male,3,1220,East,h6,3,No
56,Female,3,1000,East,h7,2,No
34,Female,3,280,East,h9,5,No
27,Male,4,2000,East,h8,3,No
70,Male,2,2100,West,h8,3,No
68,Male,3,3000,West,h7,3,Yes
35,Male,5,1500,West,h7,4,No
73,Female,3,1000,West,h4,1,No
30,Female,4,1200,West,h9,4,No
21,Male,5,450,West,h10,5,No
36,Female,5,850,East,h6,4,Yes
81,Female,4,2200,West,h10,3,No
68,Female,3,890,West,h10,4,Yes
71,Female,3,1400,West,h9,4,No
86,Female,2,1200,West,h8,3,No
52,Male,2,4200,West,h9,4,No
48,Female,5,1500,West,h8,3,No
47,Male,3,2500,West,h8,3,No
70,Male,2,563,West,h5,2,No
90,Female,3,1100,East,h10,4,No
47,Female,3,813,West,h9,3,No
46,Female,5,4300,West,h9,4,No
24,Male,3,1100,East,h7,4,No
48,Male,4,3500,West,h8,4,No
45,Male,4,2600,West,h8,4,No
68,Male,2,1800,West,h10,4,No
22,Female,5,750,West,h9,4,No
65,Female,3,813,East,h8,3,Yes
76,Female,5,1400,East,h10,5,Yes
49,Male,2,1000,West,h5,3,No
24,Female,3,930,East,h9,4,No
50,Male,3,4000,West,h10,5,No
88,Male,2,1875,West,h7,2,No
51,Male,5,1900,West,h5,4,Yes
19,Male,3,450,West,h6,4,No
44,Female,3,1250,East,h8,3,No
39,Male,3,1438,East,h9,4,No
60,Female,5,5500,West,h10,5,No
54,Female,2,1438,West,h7,4,No
24,Male,2,1800,West,h7,4,Yes
61,Male,3,600,West,h6,2,No
58,Male,3,3400,West,h9,2,No
45,Male,5,8750,West,h9,5,Yes
68,Male,3,950,East,h7,2,Yes
33,Male,3,1800,East,h5,5,No
61,Female,3,800,East,h8,3,Yes
26,Female,5,2000,West,h5,4,Yes
66,Female,5,1800,East,h9,4,No
29,Female,3,1500,West,h10,4,No
32,Male,5,2450,West,h8,4,Yes
70,Male,2,1100,East,h5,3,No
44,Male,3,2875,West,h9,3,No
82,Male,3,1800,East,h8,4,No
38,Male,3,1350,East,h8,4,No
21,Male,2,1200,West,h4,4,No
48,Male,5,1188,East,h3,5,No
76,Female,3,800,West,h10,4,No
35,Female,2,938,East,h8,4,No
28,Female,4,1625,West,h8,5,No
64,Female,5,3000,West,h8,4,No
24,Female,5,570,East,h8,4,No
26,Female,5,480,West,h8,5,Yes
67,Male,5,7500,West,h10,4,No
88,Female,2,1100,East,h10,3,Yes
78,Male,3,1400,East,h8,4,No
62,Female,3,900,East,h9,3,No
64,Female,2,700,West,h10,4,No
27,Male,5,3000,East,h8,5,No
75,Female,3,78,West,h10,4,No
53,Female,3,938,East,h7,4,No
34,Female,5,2200,West,h10,5,Yes
33,Female,5,2100,West,h9,4,No
42,Female,5,2600,West,h8,4,Yes
54,Male,3,1000,East,h3,2,No
76,Male,2,1188,East,h8,2,No
63,Male,5,3500,East,h8,4,No
51,Male,5,2875,West,h4,4,Yes
72,Female,5,620,East,h7,3,No
20,Male,3,1625,West,h10,5,No
56,Male,3,2500,West,h9,3,No
43,Female,5,4000,West,h8,5,No
36,Male,3,1800,West,h9,5,Yes
50,Female,3,2400,East,h8,4,No
33,Female,3,770,West,h8,4,No
48,Female,5,1200,West,h8,5,No
35,Female,2,688,West,h10,5,No
58,Male,2,4000,West,h8,4,No
64,Female,2,938,West,h7,2,No
20,Female,2,435,West,h5,1,Yes
60,Female,3,1500,East,h9,4,No
44,Male,2,970,West,h7,4,No
44,Male,2,2000,West,h6,3,No
45,Male,3,1600,West,h8,4,No
65,Female,2,901,West,h8,3,No
37,Female,3,2100,West,h7,4,No
68,Male,2,1200,West,h9,4,No
65,Male,5,650,East,h7,3,No
68,Male,3,1850,West,h8,4,No
36,Male,3,2500,West,h4,4,No
76,Male,3,820,West,h4,4,No
87,Male,5,1000,East,h8,4,No
49,Male,5,4500,West,h7,4,No
47,Male,5,2200,East,h9,5,No
44,Female,2,800,West,h10,4,No
21,Female,5,457,East,h10,4,No
70,Female,4,813,West,h9,2,No
56,Female,2,1300,West,h5,3,No
33,Male,5,3000,West,h9,4,No
