Survived,Pclass,Sex,Age,Fare,Embarked
No,Second,male,21.0,73.5,S
No,Third,male,29.7,8.05,S
No,Second,male,32.5,30.0708,C
Yes,Second,female,32.5,13.0,S
No,First,male,54.0,77.2875,S
Yes,Third,male,12.0,11.2417,C
No,Third,male,29.7,7.75,Q
Yes,Third,male,24.0,7.1417,S
Yes,Third,female,29.7,22.3583,C
No,Third,male,45.0,6.975,S
No,Third,male,33.0,7.8958,C
No,Third,male,20.0,7.05,S
No,Third,female,47.0,14.5,S
Yes,Second,female,29.0,26.0,S
No,Second,male,25.0,13.0,S
No,Second,male,23.0,15.0458,C
Yes,First,female,19.0,26.2833,S
No,First,male,37.0,53.1,S
No,Third,male,16.0,9.2167,S
No,First,male,24.0,79.2,C
No,Third,female,29.7,15.2458,C
Yes,Third,female,22.0,7.75,S
Yes,Third,female,24.0,15.85,S
No,Third,male,19.0,6.75,Q
No,Second,male,18.0,11.5,S
No,Second,male,19.0,36.75,S
Yes,Third,male,27.0,7.7958,S
No,Third,female,9.0,34.375,S
No,Second,male,36.5,26.0,S
No,Second,male,42.0,13.0,S
No,Second,male,51.0,12.525,S
Yes,First,female,22.0,66.6,S
No,Third,male,55.5,8.05,S
No,Third,male,40.5,14.5,S
No,Third,male,29.7,7.3125,S
No,First,male,51.0,61.3792,C
Yes,Third,female,16.0,7.7333,Q
No,Third,male,30.0,8.05,S
No,Third,male,29.7,8.6625,S
No,Third,male,29.7,69.55,S
No,Third,male,44.0,16.1,S
Yes,Second,female,40.0,15.75,S
No,Third,male,26.0,7.775,S
No,Third,male,17.0,8.6625,S
No,Third,male,1.0,39.6875,S
Yes,Third,male,9.0,20.525,S
Yes,First,female,29.7,55.0,S
No,Third,female,45.0,27.9,S
No,First,male,29.7,25.925,S
No,Third,male,28.0,56.4958,S
No,First,male,61.0,33.5,S
No,Third,male,4.0,29.125,Q
Yes,Third,female,1.0,11.1333,S
No,Third,male,21.0,7.925,S
No,First,male,56.0,30.6958,C
No,Third,male,18.0,7.8542,S
No,Third,male,29.7,25.4667,S
No,First,female,50.0,28.7125,C
No,Second,male,30.0,13.0,S
No,Third,male,36.0,0.0,S
No,Third,female,29.7,69.55,S
No,Second,male,29.7,15.05,C
No,Third,male,9.0,31.3875,S
Yes,Second,male,1.0,39.0,S
Yes,Third,female,4.0,22.025,S
No,First,male,29.7,50.0,S
Yes,Third,female,29.7,15.5,Q
Yes,First,male,45.0,26.55,S
No,Third,male,40.0,15.5,Q
No,Third,male,36.0,7.8958,S
Yes,Second,female,32.0,13.0,S
No,Second,male,19.0,13.0,S
Yes,Third,female,19.0,7.8542,S
Yes,Second,male,3.0,26.0,S
Yes,First,female,44.0,27.7208,C
Yes,First,female,58.0,146.5208,C
No,Third,male,29.7,7.75,Q
No,Third,male,42.0,8.4042,S
Yes,Third,female,29.7,7.75,Q
No,Second,female,24.0,13.0,S
No,Third,male,28.0,9.5,S
No,Third,male,29.7,69.55,S
No,Third,male,34.0,6.4958,S
No,Third,male,45.5,7.225,C
Yes,Third,male,18.0,8.05,S
No,Third,female,2.0,10.4625,S
No,Third,male,32.0,15.85,S
Yes,Third,male,26.0,18.7875,C
Yes,Third,female,16.0,7.75,Q
Yes,First,male,40.0,31.0,C
No,Third,male,24.0,7.05,S
Yes,Second,female,35.0,21.0,S
No,Third,male,22.0,7.25,S
No,Second,male,30.0,13.0,S
No,Third,male,29.7,7.75,Q
Yes,First,female,31.0,113.275,C
Yes,Third,female,27.0,7.925,S
No,Second,male,42.0,27.0,S
Yes,First,female,32.0,76.2917,C
No,Second,male,30.0,10.5,S
Yes,Third,male,16.0,8.05,S
No,Second,male,27.0,13.0,S
No,Third,male,51.0,8.05,S
No,Third,male,29.7,7.8958,S
Yes,First,male,38.0,90.0,S
No,Third,male,22.0,9.35,S
Yes,Second,male,19.0,10.5,S
No,Third,male,20.5,7.25,S
No,Second,male,18.0,13.0,S
No,Third,female,29.7,25.4667,S
Yes,First,female,35.0,83.475,S
No,Third,male,29.0,7.775,S
No,Second,male,59.0,13.5,S
Yes,Third,female,5.0,31.3875,S
No,Second,male,24.0,10.5,S
No,Third,female,29.7,7.55,S
No,Second,male,44.0,26.0,S
Yes,Second,female,8.0,26.25,S
No,Second,male,19.0,10.5,S
No,Second,male,33.0,12.275,S
No,Third,female,29.7,14.4542,C
Yes,Third,female,29.7,15.5,Q
No,Second,male,29.0,10.5,S
No,Third,male,22.0,7.125,S
No,Third,male,30.0,7.225,C
No,First,male,44.0,90.0,Q
No,Third,female,25.0,7.775,S
Yes,Second,female,24.0,14.5,S
Yes,First,male,37.0,52.5542,S
No,Second,male,54.0,26.0,S
No,Third,male,29.7,7.25,S
No,Third,female,29.0,10.4625,S
No,First,male,62.0,26.55,S
No,Third,male,30.0,16.1,S
No,Third,female,41.0,20.2125,S
Yes,Third,female,29.0,15.2458,C
Yes,First,female,29.7,79.2,C
Yes,First,female,30.0,86.5,S
Yes,First,female,35.0,512.3292,C
Yes,Second,female,50.0,26.0,S
No,Third,male,29.7,7.75,Q
Yes,Third,male,3.0,31.3875,S
No,First,male,52.0,79.65,S
No,First,male,40.0,0.0,S
No,Third,female,29.7,7.75,Q
No,Second,male,36.0,10.5,S
No,Third,male,16.0,39.6875,S
Yes,Third,male,25.0,7.775,S
Yes,First,female,58.0,153.4625,S
Yes,First,female,35.0,135.6333,S
No,First,male,29.7,31.0,S
Yes,Third,male,25.0,0.0,S
Yes,Second,female,41.0,19.5,S
No,First,male,37.0,29.7,C
Yes,Third,female,29.7,7.75,Q
Yes,First,female,63.0,77.9583,S
No,Third,female,45.0,7.75,S
No,Second,male,29.7,0.0,S
No,Third,male,7.0,29.125,Q
Yes,Third,female,35.0,20.25,S
No,Third,male,65.0,7.75,Q
No,Third,male,28.0,7.8542,S
No,Third,male,16.0,9.5,S
Yes,Third,male,19.0,8.05,S
No,First,male,29.7,26.0,S
No,Third,male,33.0,8.6625,C
Yes,Third,male,30.0,9.5,S
No,Third,male,22.0,7.8958,S
Yes,Second,male,42.0,13.0,S
Yes,Third,female,22.0,7.75,Q
Yes,First,female,26.0,78.85,S
Yes,First,female,19.0,91.0792,C
No,Second,male,36.0,12.875,C
No,Third,female,24.0,8.85,S
No,Third,male,24.0,7.8958,S
No,First,male,29.7,27.7208,C
No,Third,male,23.5,7.2292,C
No,First,female,2.0,151.55,S
Yes,First,male,29.7,30.5,S
Yes,First,female,50.0,247.5208,C
Yes,Third,female,29.7,7.75,Q
Yes,Third,male,29.7,23.25,Q
No,Third,male,19.0,0.0,S
Yes,Second,female,29.7,12.35,Q
No,Third,male,29.7,8.05,S
Yes,First,male,0.9,151.55,S
Yes,First,female,29.7,110.8833,C
Yes,First,female,17.0,108.9,C
No,Second,male,30.0,24.0,C
Yes,First,female,30.0,56.9292,C
Yes,First,female,24.0,83.1583,C
Yes,First,female,18.0,262.375,C
No,Second,female,26.0,26.0,S
No,Third,male,28.0,7.8958,S
No,Second,male,43.0,26.25,S
Yes,Third,female,26.0,7.8542,S
Yes,Second,female,24.0,26.0,S
No,Second,male,54.0,14.0,S
Yes,First,female,31.0,164.8667,S
Yes,First,female,40.0,134.5,C
No,Third,male,22.0,7.25,S
No,Third,male,27.0,7.8958,S
Yes,Second,female,30.0,12.35,Q
Yes,Second,female,22.0,29.0,S
No,Third,male,29.7,69.55,S
Yes,First,female,36.0,135.6333,C
No,Third,male,61.0,6.2375,S
Yes,Second,female,36.0,13.0,S
Yes,Third,female,31.0,20.525,S
Yes,First,female,16.0,57.9792,C
Yes,Third,female,29.7,23.25,Q
No,First,male,45.5,28.5,S
No,First,male,38.0,153.4625,S
No,Third,male,16.0,18.0,S
Yes,First,female,29.7,133.65,S
No,Third,male,29.7,7.8958,S
No,First,male,29.0,66.6,S
Yes,First,female,41.0,134.5,C
Yes,Third,male,45.0,8.05,S
No,First,male,45.0,35.5,S
Yes,Second,male,2.0,26.0,S
Yes,First,female,24.0,263.0,S
No,Second,male,28.0,13.0,S
No,Second,male,25.0,13.0,S
No,Second,male,36.0,13.0,S
Yes,Second,female,24.0,13.0,S
Yes,Second,female,40.0,13.0,S
Yes,Third,female,29.7,16.1,S
Yes,Third,male,3.0,15.9,S
No,Third,male,42.0,8.6625,S
No,Third,male,23.0,9.225,S
No,First,male,29.7,35.0,S
No,Third,male,15.0,7.2292,C
No,Third,male,25.0,17.8,S
No,Third,male,29.7,7.225,C
No,Third,male,28.0,9.5,S
Yes,First,female,22.0,55.0,S
No,Second,female,38.0,13.0,S
Yes,Third,female,29.7,7.8792,Q
Yes,Third,female,29.7,7.8792,Q
No,Third,male,40.0,27.9,S
No,Second,male,29.0,27.7208,C
No,Third,female,45.0,14.4542,C
No,Third,male,35.0,7.05,S
No,Third,male,29.7,15.5,Q
No,Third,male,30.0,7.25,S
Yes,First,female,60.0,75.25,C
Yes,Third,female,29.7,7.2292,C
Yes,Third,female,29.7,7.75,Q
Yes,First,female,24.0,69.3,C
Yes,First,male,25.0,55.4417,C
No,Third,male,18.0,6.4958,S
No,Third,male,19.0,8.05,S
No,First,male,22.0,135.6333,C
No,Third,female,3.0,21.075,S
Yes,First,female,29.7,82.1708,C
Yes,Third,female,22.0,7.25,S
No,First,male,27.0,211.5,C
No,Third,male,20.0,4.0125,C
No,Third,male,19.0,7.775,S
Yes,First,female,42.0,227.525,C
Yes,Third,female,1.0,15.7417,C
No,Third,male,32.0,7.925,S
Yes,First,female,35.0,52.0,S
No,Third,male,29.7,7.8958,S
No,Second,male,18.0,73.5,S
No,Third,male,1.0,46.9,S
Yes,Second,female,36.0,13.0,S
No,Third,male,29.7,7.7292,Q
Yes,Second,female,17.0,12.0,C
Yes,First,male,36.0,120.0,S
Yes,Third,male,21.0,7.7958,S
No,Third,male,28.0,7.925,S
Yes,First,female,23.0,113.275,C
Yes,Third,female,24.0,16.7,S
No,Third,male,22.0,7.7958,S
No,Third,female,31.0,7.8542,S
No,Second,male,46.0,26.0,S
No,Second,male,23.0,10.5,S
Yes,Second,female,28.0,12.65,S
Yes,Third,male,39.0,7.925,S
No,Third,male,26.0,8.05,S
No,Third,female,21.0,9.825,S
No,Third,male,28.0,15.85,S
No,Third,female,20.0,8.6625,S
No,Second,male,34.0,21.0,S
No,Third,male,51.0,7.75,S
Yes,Second,male,3.0,18.75,S
No,Third,male,21.0,7.775,S
No,Third,female,29.7,25.4667,S
No,Third,male,29.7,7.8958,S
No,Third,male,29.7,6.8583,Q
Yes,First,female,33.0,90.0,Q
No,Second,male,29.7,0.0,S
Yes,Third,male,44.0,7.925,S
No,Third,female,29.7,8.05,S
Yes,Second,female,34.0,32.5,S
Yes,Second,female,18.0,13.0,S
No,Second,male,30.0,13.0,S
No,Third,female,10.0,24.15,S
No,Third,male,29.7,7.8958,C
No,Third,male,21.0,7.7333,Q
No,Third,male,29.0,7.875,S
No,Third,female,28.0,14.4,S
No,Third,male,18.0,20.2125,S
No,Third,male,29.7,7.25,S
Yes,Second,female,28.0,26.0,S
Yes,Second,female,19.0,26.0,S
No,Third,male,29.7,7.75,Q
Yes,Third,male,32.0,8.05,S
Yes,First,male,28.0,26.55,S
Yes,Third,female,29.7,16.1,S
Yes,Second,female,42.0,26.0,S
No,Third,male,17.0,7.125,S
No,First,male,50.0,55.9,S
Yes,First,female,14.0,120.0,S
No,Third,female,21.0,34.375,S
Yes,Second,female,24.0,18.75,S
No,First,male,64.0,263.0,S
No,Second,male,31.0,10.5,S
Yes,Second,female,45.0,26.25,S
No,Third,male,20.0,9.5,S
No,Third,male,25.0,7.775,S
Yes,Second,female,28.0,13.0,S
Yes,Third,male,29.7,8.1125,S
Yes,First,male,4.0,81.8583,S
Yes,Second,female,13.0,19.5,S
Yes,First,male,34.0,26.55,S
Yes,Third,female,5.0,19.2583,C
Yes,First,male,52.0,30.5,S
No,Second,male,36.0,27.75,S
No,Third,male,29.7,19.9667,S
No,First,male,30.0,27.75,C
Yes,First,male,49.0,89.1042,C
No,Third,male,29.7,8.05,S
Yes,Third,male,29.0,7.8958,C
No,First,male,65.0,26.55,S
Yes,First,female,29.7,51.8625,S
Yes,Second,female,50.0,10.5,S
No,Third,male,29.7,7.75,Q
Yes,First,male,48.0,26.55,S
No,Third,male,34.0,8.05,S
No,First,male,47.0,38.5,S
No,Second,male,48.0,13.0,S
No,Third,male,29.7,8.05,S
No,Third,male,38.0,7.05,S
No,Second,male,29.7,0.0,S
No,First,male,56.0,26.55,S
No,Third,male,29.7,7.725,Q
Yes,Third,female,0.8,19.2583,C
No,Third,male,29.7,7.25,S
No,Third,male,38.0,8.6625,S
Yes,Second,female,33.0,27.75,S
Yes,Second,female,23.0,13.7917,C
No,Third,female,22.0,9.8375,S
No,First,male,29.7,52.0,S
No,Second,male,34.0,21.0,S
No,Third,male,29.0,7.0458,S
No,Third,male,22.0,7.5208,S
Yes,Third,female,2.0,12.2875,S
No,Third,male,9.0,46.9,S
No,Second,male,29.7,0.0,S
No,Third,male,50.0,8.05,S
Yes,Third,female,63.0,9.5875,S
Yes,First,male,25.0,91.0792,C
No,Third,female,29.7,25.4667,S
Yes,First,female,35.0,90.0,S
No,First,male,58.0,29.7,C
No,Third,male,30.0,8.05,S
Yes,Third,male,9.0,15.9,S
No,Third,male,29.7,19.9667,S
No,Third,male,21.0,7.25,S
No,First,male,55.0,30.5,S
No,First,male,71.0,49.5042,C
No,Third,male,21.0,8.05,S
No,Third,male,29.7,14.4583,C
Yes,First,female,54.0,78.2667,C
No,Third,male,29.7,15.1,S
No,First,female,25.0,151.55,S
No,Third,male,24.0,7.7958,S
No,Third,male,17.0,8.6625,S
No,Third,female,21.0,7.75,Q
No,Third,female,29.7,7.6292,Q
No,Third,female,37.0,9.5875,S
Yes,First,female,16.0,86.5,S
No,First,male,18.0,108.9,C
Yes,Second,female,33.0,26.0,S
Yes,First,male,29.7,26.55,S
No,Third,male,28.0,22.525,S
Yes,Third,male,26.0,56.4958,S
Yes,Third,male,29.0,7.75,Q
No,Third,male,29.7,8.05,S
Yes,First,male,36.0,26.2875,S
Yes,First,female,54.0,59.4,C
No,Third,male,24.0,7.4958,S
No,First,male,47.0,34.0208,S
Yes,Second,female,34.0,10.5,S
No,Third,male,29.7,24.15,Q
Yes,Second,female,36.0,26.0,S
No,Third,male,32.0,7.8958,S
Yes,First,female,30.0,93.5,S
No,Third,male,22.0,7.8958,S
No,Third,male,29.7,7.225,C
Yes,First,female,44.0,57.9792,C
No,Third,male,29.7,7.2292,C
No,Third,male,40.5,7.75,Q
Yes,Second,female,50.0,10.5,S
No,First,male,29.7,221.7792,S
No,Third,male,39.0,7.925,S
No,Second,male,23.0,11.5,S
Yes,Second,female,2.0,26.0,S
No,Third,male,29.7,7.2292,C
No,Third,male,17.0,7.2292,C
Yes,Third,female,29.7,22.3583,C
No,Third,female,30.0,8.6625,S
Yes,Second,female,7.0,26.25,S
No,First,male,45.0,26.55,S
Yes,First,female,30.0,106.425,C
No,Third,male,29.7,14.5,S
Yes,First,female,22.0,49.5,C
Yes,First,female,36.0,71.0,S
No,Third,female,9.0,31.275,S
No,Third,female,11.0,31.275,S
Yes,Second,male,32.0,26.0,S
No,First,male,50.0,106.425,C
No,First,male,64.0,26.0,S
Yes,Second,female,19.0,26.0,S
Yes,Second,male,29.7,13.8625,C
No,Third,male,33.0,20.525,S
Yes,Second,male,8.0,36.75,S
Yes,First,male,17.0,110.8833,C
No,Second,male,27.0,26.0,S
No,Third,male,29.7,7.8292,Q
Yes,Third,male,22.0,7.225,C
Yes,Third,female,22.0,7.775,S
No,First,male,62.0,26.55,S
Yes,First,female,48.0,39.6,C
No,First,male,29.7,227.525,C
Yes,First,female,39.0,79.65,S
Yes,Third,female,36.0,17.4,S
No,Third,male,29.7,7.75,Q
No,Third,male,40.0,7.8958,S
No,Second,male,28.0,13.5,S
No,Third,male,29.7,8.05,S
No,Third,female,29.7,8.05,S
No,Third,male,24.0,24.15,S
No,Third,male,19.0,7.8958,S
No,Third,female,29.0,21.075,S
No,Third,male,29.7,7.2292,C
Yes,Third,male,32.0,7.8542,S
Yes,Second,male,62.0,10.5,S
Yes,First,female,53.0,51.4792,S
Yes,First,male,36.0,26.3875,S
Yes,Third,female,29.7,7.75,Q
No,Third,male,16.0,8.05,S
No,Third,male,19.0,14.5,S
Yes,Second,female,34.0,13.0,S
Yes,First,female,39.0,55.9,S
No,Third,female,29.7,14.4583,C
Yes,Third,male,32.0,7.925,S
Yes,Second,female,25.0,30.0,S
Yes,First,female,39.0,110.8833,C
No,Second,male,54.0,26.0,S
No,First,male,36.0,40.125,C
No,Third,male,29.7,8.7125,C
Yes,First,female,18.0,79.65,S
No,Second,male,47.0,15.0,S
Yes,First,male,60.0,79.2,C
No,Third,male,22.0,8.05,S
No,Third,male,29.7,8.05,S
No,Third,male,35.0,7.125,S
Yes,First,female,52.0,78.2667,C
No,Third,male,47.0,7.25,S
No,Third,female,29.7,7.75,Q
No,Second,male,37.0,26.0,S
No,Third,male,36.0,24.15,S
Yes,Second,female,29.7,33.0,S
No,Third,male,49.0,0.0,S
No,Third,male,29.7,7.225,C
Yes,First,male,49.0,56.9292,C
Yes,Second,female,24.0,27.0,S
No,Third,male,29.7,7.8958,S
No,First,male,29.7,42.4,S
No,Third,male,44.0,8.05,S
Yes,First,male,35.0,26.55,C
No,Third,male,36.0,15.55,S
No,Third,male,30.0,7.8958,S
Yes,First,male,27.0,30.5,S
Yes,Second,female,22.0,41.5792,C
Yes,First,female,40.0,153.4625,S
No,Third,female,39.0,31.275,S
No,Third,male,29.7,7.05,S
Yes,Third,female,29.7,15.5,Q
No,Third,male,29.7,7.75,Q
No,Third,male,35.0,8.05,S
Yes,Second,female,24.0,65.0,S
No,Third,male,34.0,14.4,S
No,Third,female,26.0,16.1,S
Yes,Second,female,4.0,39.0,S
No,Second,male,26.0,10.5,S
No,Third,male,27.0,14.4542,C
Yes,First,male,42.0,52.5542,S
Yes,Third,male,20.0,15.7417,C
No,Third,male,21.0,7.8542,S
No,Third,male,21.0,16.1,S
No,First,male,61.0,32.3208,S
No,Second,male,57.0,12.35,Q
Yes,First,female,21.0,77.9583,S
No,Third,male,26.0,7.8958,S
No,Third,male,29.7,7.7333,Q
Yes,First,male,80.0,30.0,S
No,Third,male,51.0,7.0542,S
Yes,First,male,32.0,30.5,C
No,First,male,29.7,0.0,S
No,Third,female,9.0,27.9,S
Yes,Second,female,28.0,13.0,S
No,Third,male,32.0,7.925,S
No,Second,male,31.0,26.25,S
No,Third,female,41.0,39.6875,S
No,Third,male,29.7,16.1,S
No,Third,male,20.0,7.8542,S
Yes,First,female,24.0,69.3,C
No,Third,female,2.0,27.9,S
Yes,Third,male,29.7,56.4958,S
Yes,Third,female,0.8,19.2583,C
Yes,First,male,48.0,76.7292,C
No,Third,male,19.0,7.8958,S
Yes,First,male,56.0,35.5,C
No,Third,male,29.7,7.55,S
Yes,Third,female,23.0,7.55,S
No,Third,male,29.7,7.8958,S
Yes,Second,female,18.0,23.0,S
No,Third,male,21.0,8.4333,S
Yes,Third,female,29.7,7.8292,Q
No,Third,female,18.0,6.75,Q
No,Second,male,24.0,73.5,S
No,Third,male,29.7,7.8958,S
No,Third,female,32.0,15.5,Q
No,Second,male,23.0,13.0,S
No,First,male,58.0,113.275,C
Yes,First,male,50.0,133.65,S
No,Third,male,40.0,7.225,C
No,First,male,47.0,25.5875,S
No,Third,male,36.0,7.4958,S
Yes,Third,male,20.0,7.925,S
No,Second,male,32.0,73.5,S
No,Second,male,25.0,13.0,S
No,Third,male,29.7,7.775,S
No,Third,male,43.0,8.05,S
Yes,First,female,29.7,52.0,S
Yes,Second,female,40.0,39.0,S
No,First,male,31.0,52.0,S
No,Second,male,70.0,10.5,S
Yes,Second,male,31.0,13.0,S
No,Second,male,29.7,0.0,S
No,Third,male,18.0,7.775,S
No,Third,male,24.5,8.05,S
Yes,Third,female,18.0,9.8417,S
No,Third,female,43.0,46.9,S
Yes,First,male,36.0,512.3292,C
No,Third,female,29.7,8.1375,Q
Yes,First,male,27.0,76.7292,C
No,Third,male,20.0,9.225,S
No,Third,male,14.0,46.9,S
No,Second,male,60.0,39.0,S
No,Second,male,25.0,41.5792,C
No,Third,male,14.0,39.6875,S
No,Third,male,19.0,10.1708,S
No,Third,male,18.0,7.7958,S
Yes,First,female,15.0,211.3375,S
Yes,First,male,31.0,57.0,S
Yes,Third,female,4.0,13.4167,C
Yes,Third,male,29.7,56.4958,S
No,Third,male,25.0,7.225,C
No,First,male,60.0,26.55,S
No,Second,male,52.0,13.5,S
No,Third,male,44.0,8.05,S
Yes,Third,female,29.7,7.7333,Q
No,First,male,49.0,110.8833,C
No,Third,male,42.0,7.65,S
Yes,First,female,18.0,227.525,C
Yes,First,male,35.0,26.2875,S
No,Third,female,18.0,14.4542,C
No,Third,male,25.0,7.7417,Q
No,Third,male,26.0,7.8542,S
No,Second,male,39.0,26.0,S
Yes,Second,female,45.0,13.5,S
Yes,First,male,42.0,26.2875,S
Yes,First,female,22.0,151.55,S
Yes,Third,male,29.7,15.2458,C
Yes,First,female,24.0,49.5042,C
No,First,male,29.7,26.55,S
Yes,First,male,48.0,52.0,S
No,Third,male,29.0,9.4833,S
No,Second,male,52.0,13.0,S
No,Third,male,19.0,7.65,S
Yes,First,female,38.0,227.525,C
Yes,Second,female,27.0,10.5,S
No,Third,male,29.7,15.5,Q
No,Third,male,33.0,7.775,S
Yes,Second,female,6.0,33.0,S
No,Third,male,17.0,7.0542,S
No,Second,male,34.0,13.0,S
No,Second,male,50.0,13.0,S
Yes,First,male,27.0,53.1,S
No,Third,male,20.0,8.6625,S
Yes,Second,female,30.0,21.0,S
Yes,Third,female,29.7,7.7375,Q
No,Second,male,25.0,26.0,S
No,Third,female,25.0,7.925,S
Yes,First,female,29.0,211.3375,S
No,Third,male,11.0,18.7875,C
No,Second,male,29.7,0.0,S
No,Second,male,23.0,13.0,S
No,Second,male,23.0,13.0,S
No,Third,male,28.5,16.1,S
No,Third,female,48.0,34.375,S
Yes,First,male,35.0,512.3292,C
No,Third,male,29.7,7.8958,S
No,Third,male,29.7,7.8958,S
Yes,First,male,29.7,30.0,S
No,First,male,36.0,78.85,S
Yes,First,female,21.0,262.375,C
No,Third,male,24.0,16.1,S
Yes,Third,male,31.0,7.925,S
No,First,male,70.0,71.0,S
No,Third,male,16.0,20.25,S
Yes,Second,female,30.0,13.0,S
No,First,male,19.0,53.1,S
No,Third,male,31.0,7.75,Q
Yes,Second,female,4.0,23.0,S
Yes,Third,male,6.0,12.475,S
No,Third,male,33.0,9.5,S
No,Third,male,23.0,7.8958,S
Yes,Second,female,48.0,65.0,S
Yes,Second,male,0.7,14.5,S
No,Third,male,28.0,7.7958,S
No,Second,male,18.0,11.5,S
No,Third,male,34.0,8.05,S
Yes,First,female,33.0,86.5,S
No,Third,male,29.7,14.5,S
No,Third,male,41.0,7.125,S
Yes,Third,male,20.0,7.2292,C
Yes,First,female,36.0,120.0,S
No,Third,male,16.0,7.775,S
Yes,First,female,51.0,77.9583,S
No,First,male,29.7,39.6,C
No,Third,female,30.5,7.75,Q
No,Third,male,29.7,24.15,Q
No,Third,male,32.0,8.3625,S
No,Third,male,24.0,9.5,S
No,Third,male,48.0,7.8542,S
No,Second,female,57.0,10.5,S
No,Third,male,29.7,7.225,C
Yes,Second,female,54.0,23.0,S
No,Third,male,18.0,7.75,S
No,Third,male,29.7,7.75,Q
Yes,Third,female,5.0,12.475,S
