pclass,survived,sex,age,ticket,fare,embarked,boat,has_cabin_number
0,1,0,21,77,263.0,2,1,1
0,1,0,25,77,263.0,2,1,1
0,1,0,20,77,263.0,2,1,1
0,1,0,62,77,263.0,2,1,1
0,1,0,29,277,56.9292,0,0,1
0,1,1,52,295,133.65,2,14,0
0,1,1,45,71,27.7208,0,14,1
0,1,0,27,295,133.65,2,14,0
0,1,0,19,57,49.5,0,14,1
0,1,1,62,56,79.2,0,14,1
0,1,0,49,56,79.2,0,14,1
0,1,0,35,33,53.1,2,26,1
0,1,0,35,17,211.5,0,13,1
0,1,0,19,14,59.4,0,18,0
0,1,0,47,14,59.4,0,18,0
0,1,1,50,66,89.1042,0,14,1
0,1,0,27,66,89.1042,0,14,1
0,1,1,55,24,28.5,0,23,1
0,1,0,15,10,30.0,2,12,1
0,1,0,59,281,153.4625,2,12,1
0,1,1,20,301,63.3583,0,18,1
0,1,0,47,301,63.3583,0,18,1
0,1,1,22,40,55.4417,0,14,1
0,1,0,22,40,55.4417,0,14,1
0,1,1,49,280,76.7292,0,12,1
0,1,0,50,280,76.7292,0,12,1
0,1,0,35,220,83.475,2,26,1
0,1,1,24,280,76.7292,0,12,1
0,1,1,27,64,30.0,2,12,1
0,1,0,21,41,83.1583,0,18,1
0,1,0,54,48,93.5,2,12,1
0,1,0,12,5,57.9792,0,13,1
0,1,0,46,5,57.9792,0,13,1
0,1,0,53,53,77.9583,2,1,1
0,1,0,35,29,52.0,2,19,0
0,1,1,35,7,26.55,0,8,0
0,1,1,39,75,90.0,2,26,1
0,0,1,27,288,30.6958,0,7,0
0,1,0,35,75,90.0,2,26,1
0,1,0,39,20,80.0,2,17,1
0,1,1,50,11,0.0,2,24,1
0,1,0,27,67,51.8625,2,19,1
0,1,1,44,38,52.5542,2,14,1
0,1,0,47,38,52.5542,2,14,1
0,1,0,40,99,211.3375,2,11,0
0,1,0,50,68,25.9292,2,19,1
0,1,0,29,303,106.425,0,11,0
0,1,1,35,297,512.3292,0,12,1
0,1,0,57,13,27.7208,0,17,0
0,1,0,12,283,39.4,2,21,1
0,1,0,53,283,39.4,2,21,1
0,1,0,18,53,77.9583,2,1,1
0,1,0,11,99,211.3375,2,11,1
0,1,0,12,0,86.5,2,19,1
0,1,1,27,44,29.7,0,18,1
0,1,0,14,22,53.1,2,1,1
0,1,0,21,275,49.5042,0,17,1
0,1,1,36,270,26.2875,2,18,1
0,1,0,27,290,82.1708,0,17,0
0,1,0,33,74,90.0,1,7,1
0,1,0,38,74,90.0,1,7,1
0,1,1,29,52,57.75,0,2,1
0,1,0,30,207,113.275,0,17,1
0,1,0,20,207,113.275,0,17,1
0,1,0,15,37,26.2833,2,14,1
0,1,0,40,300,108.9,0,19,1
0,1,1,27,264,25.7417,0,18,0
0,1,0,19,19,61.9792,0,14,1
0,1,0,19,23,66.6,2,19,1
0,1,0,13,300,108.9,0,19,1
0,1,0,29,48,93.5,2,12,1
0,1,1,54,27,30.5,2,17,1
0,1,0,58,41,83.1583,0,18,1
0,1,1,27,292,39.6,2,22,0
0,1,0,45,99,211.3375,2,11,1
0,1,1,47,9,26.55,2,21,0
0,1,0,33,296,27.7208,0,2,1
0,1,0,33,0,86.5,2,19,1
0,1,0,56,289,59.4,0,17,0
0,1,1,9,293,262.375,0,13,1
0,1,0,14,293,262.375,0,13,1
0,1,0,18,293,262.375,0,13,1
0,1,0,49,293,262.375,0,13,1
0,1,1,27,79,30.5,2,12,1
0,1,0,21,274,69.3,0,21,1
0,1,1,27,4,26.0,2,0,0
0,1,0,35,52,57.75,0,2,1
0,1,0,29,32,31.0,0,13,0
0,1,1,34,30,26.55,2,18,0
0,1,0,42,281,153.4625,2,12,1
0,1,1,35,272,26.2875,2,14,1
0,1,0,40,54,55.9,2,2,1
0,1,1,58,50,35.5,0,12,1
0,1,1,25,28,35.5,2,18,1
0,1,0,14,58,60.0,2,17,1
0,1,1,21,82,82.2667,2,18,1
0,1,0,20,82,82.2667,2,18,1
0,1,1,61,63,134.5,0,12,1
0,1,1,47,63,134.5,0,12,1
0,1,0,42,63,134.5,0,12,1
0,1,0,27,279,146.5208,0,17,1
0,1,1,31,51,30.5,0,12,1
0,1,1,56,45,55.4417,0,0,1
0,1,0,45,45,55.4417,0,14,1
0,1,0,54,219,78.2667,0,13,1
0,1,0,63,20,80.0,2,17,1
0,1,0,49,69,25.9292,2,19,1
0,1,0,14,1,79.65,2,19,1
0,1,0,40,1,79.65,2,19,1
0,1,1,49,80,52.0,2,15,1
0,1,0,27,80,52.0,2,15,1
0,1,1,13,65,110.8833,0,23,1
0,1,0,40,65,110.8833,0,13,1
0,1,0,27,282,79.2,0,26,0
0,1,1,30,115,28.5375,0,18,1
0,1,0,35,297,512.3292,0,12,0
0,1,0,62,3,75.25,0,14,1
0,1,0,57,302,135.6333,0,19,1
0,1,0,30,218,164.8667,2,19,1
0,1,0,47,218,164.8667,2,19,0
0,1,0,52,17,211.5,0,13,1
0,1,0,18,31,26.55,2,20,0
0,1,1,18,285,61.3792,0,22,0
0,1,0,30,63,134.5,0,12,1
0,1,1,27,76,35.5,2,26,1
0,1,0,36,302,135.6333,0,19,1
1,1,0,25,269,24.0,0,1,0
1,1,0,36,87,26.0,2,2,0
1,1,0,36,144,13.0,2,1,1
1,1,1,31,145,26.0,2,4,0
1,1,0,15,145,26.0,2,4,0
1,1,1,6,90,39.0,2,2,1
1,1,0,41,90,39.0,2,2,1
1,1,0,8,90,39.0,2,4,1
1,1,0,36,90,39.0,2,2,1
1,1,1,34,105,13.0,2,4,1
1,1,0,15,143,13.0,2,3,0
1,1,0,21,108,13.0,2,2,1
1,1,0,11,150,39.0,2,7,0
1,1,0,42,150,39.0,2,7,0
1,1,0,17,95,26.0,2,3,0
1,1,0,36,140,13.0,2,21,0
1,1,1,4,109,29.0,2,4,0
1,1,1,23,109,29.0,2,4,0
1,1,0,19,109,29.0,2,4,0
1,1,0,35,265,21.0,2,7,0
1,1,0,22,97,30.0,2,3,0
1,1,0,47,97,30.0,2,3,0
1,1,0,25,81,26.0,2,7,0
1,1,1,21,141,10.5,2,21,0
1,1,0,68,254,26.25,2,7,0
1,1,0,30,254,26.25,2,7,0
1,1,0,19,331,10.5,2,7,1
1,1,1,68,255,36.75,2,7,0
1,1,0,49,255,36.75,2,7,0
1,1,0,25,96,13.0,2,4,0
1,1,0,21,316,27.7208,0,3,0
1,1,1,68,142,32.5,2,1,0
1,1,0,34,142,32.5,2,1,0
1,1,0,24,314,13.8583,0,3,0
1,1,0,29,313,13.8583,0,3,0
1,1,0,26,149,26.0,2,10,0
1,1,0,34,101,13.0,2,3,0
1,1,1,2,112,14.5,2,13,0
1,1,0,21,112,14.5,2,13,0
1,1,0,61,107,33.0,2,2,0
1,1,1,63,308,10.5,2,8,0
1,1,0,66,266,26.25,2,7,0
1,1,0,47,266,26.25,2,7,0
1,1,0,21,84,65.0,2,21,0
1,1,0,21,84,65.0,2,21,0
1,1,0,49,84,65.0,2,21,0
1,1,0,57,106,16.0,2,4,0
1,1,0,17,147,23.0,2,13,0
1,1,0,56,147,23.0,2,13,0
1,1,0,26,132,26.0,2,1,0
1,1,1,44,98,13.0,2,1,0
1,1,0,21,100,27.0,2,3,0
1,1,0,20,310,13.7917,0,2,1
1,1,0,21,103,26.0,2,3,0
1,1,0,27,86,12.35,1,1,1
1,1,0,47,85,13.5,2,21,0
1,1,0,6,317,41.5792,0,7,0
1,1,0,28,317,41.5792,0,7,0
1,1,0,19,317,41.5792,0,7,0
1,1,0,13,309,12.0,0,3,0
1,1,0,27,107,33.0,2,2,0
1,1,0,34,257,10.5,2,7,1
1,1,1,6,305,37.0042,0,1,0
1,1,0,21,305,37.0042,0,1,0
1,1,0,9,110,19.5,2,7,0
1,1,0,43,110,19.5,2,7,0
1,1,1,15,328,10.5,2,23,0
1,1,1,16,89,26.0,2,26,1
1,1,1,28,89,26.0,2,26,1
1,1,1,17,315,13.8625,0,18,1
1,1,0,26,252,10.5,2,2,1
1,1,1,19,330,10.5,2,4,0
1,1,1,27,311,13.8625,0,21,0
1,1,1,26,312,13.8583,0,21,0
1,1,0,52,91,26.0,2,3,0
1,1,0,18,306,21.0,2,3,0
1,1,0,15,114,26.0,2,2,0
1,1,0,31,93,13.0,2,21,0
1,1,1,29,258,12.7375,0,7,0
1,1,0,16,118,26.0,2,2,0
1,1,0,68,118,26.0,2,2,0
1,1,0,33,118,26.0,2,2,0
1,0,1,34,155,21.0,2,3,0
1,1,0,25,92,13.0,2,21,0
1,1,1,4,148,18.75,2,13,0
1,1,1,28,148,18.75,2,13,0
1,1,0,21,148,18.75,2,13,0
1,1,0,52,329,10.5,2,4,0
1,1,0,18,253,10.5,2,3,0
1,1,0,22,91,26.0,2,3,0
1,1,0,14,113,13.0,2,10,0
1,1,0,17,255,36.75,2,2,0
1,1,0,29,111,13.0,2,1,0
1,1,0,29,94,12.35,1,4,0
1,1,0,42,157,13.0,2,21,0
1,1,0,52,267,10.5,2,21,0
1,1,0,24,172,10.5,2,10,1
1,1,0,30,265,21.0,2,7,0
1,1,0,30,261,21.0,2,1,0
1,1,0,8,256,15.75,2,21,0
1,1,0,42,256,15.75,2,21,0
1,1,0,32,139,13.0,2,3,1
1,1,0,26,88,26.0,2,1,0
1,1,1,16,146,23.0,2,7,0
1,1,0,41,146,23.0,2,7,0
1,1,0,26,146,23.0,2,7,0
1,1,0,5,259,27.75,2,1,0
1,1,0,51,259,27.75,2,1,0
1,1,0,33,259,27.75,2,1,0
1,1,1,30,102,13.0,2,21,0
1,1,1,27,104,13.0,2,7,0
1,1,0,23,83,13.5,2,21,0
2,1,0,35,251,20.25,2,22,0
2,1,0,12,194,7.65,2,10,0
2,1,1,22,193,7.65,2,22,1
2,1,1,17,320,7.925,2,8,0
2,1,0,14,124,7.2292,0,24,0
2,1,1,4,234,9.35,2,2,0
2,1,0,14,234,9.35,2,4,0
2,1,1,23,137,18.7875,0,8,0
2,1,0,15,202,7.8542,2,10,0
2,1,0,13,153,7.925,2,26,0
2,1,1,24,201,7.7958,2,22,0
2,1,1,28,184,31.3875,2,8,0
2,1,0,51,184,31.3875,2,8,0
2,1,1,20,204,7.7958,2,4,0
2,1,0,39,184,31.3875,2,8,0
2,1,0,47,136,7.225,0,24,0
2,1,0,9,134,7.2292,0,24,0
2,0,1,31,152,15.85,2,26,0
2,1,0,3,129,19.2583,0,24,0
2,1,0,3,129,19.2583,0,24,0
2,1,0,51,129,19.2583,0,24,0
2,1,0,21,129,19.2583,0,24,0
2,1,0,14,244,8.05,2,24,0
2,1,1,17,128,7.2292,0,8,0
2,1,1,31,62,56.4958,2,24,0
2,1,0,19,167,7.725,1,4,0
2,1,1,18,162,7.8208,1,4,0
2,1,0,12,215,7.75,1,10,0
2,1,1,31,62,56.4958,2,24,0
2,1,1,14,245,8.05,2,3,0
2,1,0,19,222,7.75,1,4,0
2,1,1,70,260,15.9,2,11,0
2,1,1,28,260,15.9,2,11,0
2,1,0,36,260,15.9,2,11,0
2,1,0,13,225,16.1,2,3,0
2,1,1,47,241,8.05,2,8,0
2,1,0,29,228,6.95,1,8,0
2,1,1,26,229,7.75,1,6,0
2,1,0,27,233,16.1,2,10,0
2,1,1,37,176,17.4,2,8,0
2,1,0,36,176,17.4,2,4,0
2,1,1,29,178,9.5,2,2,0
2,1,1,6,250,20.575,2,1,0
2,1,0,0,250,20.575,2,1,0
2,1,0,33,250,20.575,2,1,0
2,1,0,15,165,7.8792,1,24,0
2,1,1,15,246,8.05,2,23,0
2,1,0,29,211,12.475,2,4,0
2,1,1,21,307,7.55,2,26,0
2,1,0,19,183,13.9,2,10,0
2,1,0,51,211,12.475,2,4,0
2,1,1,27,318,7.05,2,8,0
2,1,1,27,62,56.4958,2,4,0
2,1,0,12,208,7.7333,1,10,0
2,1,0,27,170,7.75,1,4,0
2,1,1,70,210,20.525,2,25,0
2,1,0,30,210,20.525,2,25,0
2,1,0,21,327,15.85,2,8,0
2,1,0,47,198,14.1083,2,2,0
2,0,1,22,226,7.25,2,23,0
2,1,0,27,223,7.75,1,10,0
2,1,1,24,189,6.975,2,8,0
2,1,1,27,62,56.4958,2,24,0
2,1,0,19,240,8.9625,2,24,0
2,1,0,16,154,12.2875,2,8,0
2,1,0,19,154,12.2875,2,8,0
2,1,0,27,243,8.05,2,24,0
2,1,1,27,180,7.8875,2,24,0
2,1,1,26,195,7.8958,0,8,0
2,1,1,18,200,7.7958,2,22,0
2,1,0,27,61,7.75,1,26,0
2,1,1,27,238,8.1125,2,4,0
2,1,1,23,182,7.775,2,8,0
2,1,1,41,192,11.1333,2,8,0
2,1,0,6,192,11.1333,2,8,0
2,1,0,24,192,11.1333,2,8,0
2,1,1,31,206,7.8542,2,8,0
2,1,1,31,324,7.925,2,8,0
2,1,1,18,203,7.7958,2,4,0
2,1,0,41,196,13.4167,0,8,0
2,1,1,40,196,13.4167,0,8,0
2,0,1,27,160,7.25,2,22,0
2,1,0,27,242,7.75,1,10,0
2,1,0,27,60,7.75,1,26,0
2,1,0,41,159,22.025,2,11,0
2,1,1,26,159,22.025,2,11,0
2,1,0,23,159,22.025,2,11,0
2,1,1,22,123,7.2292,0,1,1
2,1,1,27,62,56.4958,2,24,0
2,1,0,19,249,7.25,2,4,0
2,1,1,23,62,56.4958,2,7,0
2,1,1,19,116,7.225,0,17,0
2,0,1,36,197,15.55,2,22,0
2,0,0,29,197,15.55,2,22,0
2,1,1,17,323,7.925,2,8,0
2,1,1,24,158,8.6625,2,8,0
2,1,0,20,190,7.8542,2,1,0
2,1,1,31,205,7.5792,2,8,0
2,1,0,27,221,7.75,1,8,0
2,1,1,21,248,7.1417,2,4,0
2,1,1,27,133,7.2292,0,8,0
2,1,0,27,217,7.7375,1,10,0
2,1,0,27,119,7.225,0,24,0
2,1,0,27,231,7.75,1,9,0
2,1,0,27,213,23.25,1,10,0
2,1,0,27,213,23.25,1,10,0
2,1,1,27,213,23.25,1,10,0
2,1,0,27,164,7.7875,1,4,0
2,1,0,27,163,7.8792,1,4,0
2,1,1,18,175,7.775,2,8,0
2,1,0,27,166,7.8792,1,10,0
2,1,1,61,235,12.475,2,7,1
2,1,0,24,235,12.475,2,7,1
2,1,0,27,224,24.15,1,10,0
2,1,1,27,156,7.775,2,23,0
2,1,1,27,127,15.2458,0,24,0
2,1,1,27,127,15.2458,0,24,0
2,1,0,27,127,15.2458,0,24,0
2,1,0,27,209,7.7333,1,10,0
2,1,0,21,230,7.75,1,8,0
2,1,0,27,214,15.5,1,10,0
2,1,0,27,214,15.5,1,10,0
2,1,0,27,212,15.5,1,10,0
2,1,0,11,130,7.225,0,24,0
2,1,0,6,122,15.7417,0,24,0
2,1,1,17,122,15.7417,0,24,0
2,1,0,15,122,15.7417,0,24,0
2,1,1,8,121,11.2417,0,24,0
2,1,0,10,121,11.2417,0,24,0
2,1,0,14,181,7.775,2,26,0
2,1,0,23,191,7.8542,2,4,0
2,1,1,40,326,7.925,2,21,0
2,1,0,19,186,7.75,2,4,0
2,1,0,27,59,7.75,1,26,0
2,1,0,19,188,7.775,2,24,0
2,1,1,27,216,7.75,1,23,0
2,1,0,27,161,7.8292,1,4,0
2,1,1,70,247,3.1708,2,4,0
2,1,1,31,185,7.775,2,22,0
2,1,1,22,187,7.775,2,8,0
2,1,1,27,131,22.3583,0,24,0
2,1,0,27,131,22.3583,0,26,1
2,1,0,27,131,22.3583,0,26,0
2,1,1,31,319,8.05,2,21,1
2,1,0,27,168,7.7208,1,4,0
2,1,0,27,173,8.05,2,24,0
2,1,1,27,232,7.75,1,7,0
2,1,0,18,174,7.65,2,24,0
2,1,0,6,304,16.7,2,4,1
2,1,0,21,304,16.7,2,4,1
2,1,0,41,304,16.7,2,4,1
2,1,1,22,177,9.5,2,2,0
2,1,1,26,179,9.5,2,2,0
2,1,0,14,151,7.4958,2,10,0
2,1,0,27,169,7.7333,1,4,0
2,1,0,20,262,7.55,2,24,0
2,1,1,30,325,7.925,2,21,0
2,1,1,12,321,8.05,2,23,0
2,1,1,46,322,7.925,2,8,0
2,1,1,10,239,9.225,2,4,0
2,1,1,22,199,7.7958,2,5,0
2,1,1,1,117,8.5167,0,10,0
2,1,0,12,117,8.5167,0,7,0
2,1,0,27,227,16.1,2,1,0
2,1,1,22,268,0.0,2,8,0
2,1,1,66,120,15.2458,0,24,0
2,1,0,70,120,15.2458,0,24,0
2,1,0,26,120,15.2458,0,24,0
2,1,0,14,237,9.8417,2,8,0
2,1,0,64,236,9.5875,2,8,0
2,1,1,19,125,7.225,0,5,0
2,1,0,39,135,7.2292,0,24,0
2,0,1,24,126,14.4542,0,24,0
