pclass,survived,sex,age,sibsp,parch,ticket,fare,embarked,boat,has_cabin_number
1,1,male,45,0,0,PC 17594,29.7,C,7,1
1,1,female,29.8811345124283,0,1,113505,55,S,6,1
1,1,female,26,1,0,13508,136.7792,C,4,1
1,1,female,22,0,0,113781,151.55,S,11,0
1,1,female,39,1,1,PC 17756,83.1583,C,14,1
1,1,female,64,0,2,PC 17756,83.1583,C,14,1
1,1,female,55,2,0,11770,25.7,S,2,1
1,1,female,36,0,2,WE/P 5735,71,S,7,1
1,1,female,64,1,1,112901,26.55,S,7,1
1,1,female,38,1,0,PC 17599,71.2833,C,4,1
1,1,male,51,0,0,113055,26.55,S,5 9,1
1,1,male,27,0,0,113804,30.5,S,3,0
1,1,female,33,0,0,113781,151.55,S,8,0
1,1,female,27,1,2,F.C. 12750,52,S,3,1
1,1,male,31,1,0,17474,57,S,3,1
1,1,female,17,1,0,17474,57,S,3,1
1,1,male,53,1,1,33638,81.8583,S,13,1
1,1,male,4,0,2,33638,81.8583,S,5,1
1,1,female,54,1,1,33638,81.8583,S,5,1
1,1,female,27,1,1,PC 17558,247.5208,C,6,1
1,1,female,48,1,0,PC 17761,106.425,C,2,1
1,1,female,48,1,0,11755,39.6,C,1,1
1,1,male,49,1,0,PC 17485,56.9292,C,1,1
1,1,female,23,0,1,11767,83.1583,C,7,1
1,1,female,38,0,0,PC 17757,227.525,C,4,1
1,1,female,54,1,0,36947,78.2667,C,4,1
1,1,female,29.8811345124283,0,0,PC 17598,31.6833,S,7,0
1,1,female,29.8811345124283,0,0,17421,110.8833,C,4,0
1,1,male,36,0,0,PC 17474,26.3875,S,5,1
1,1,female,24,3,2,19950,263,S,10,1
1,1,female,28,3,2,19950,263,S,10,1
1,1,female,23,3,2,19950,263,S,10,1
1,1,female,60,1,4,19950,263,S,10,1
1,1,female,30,0,0,PC 17485,56.9292,C,1,1
1,1,male,50,2,0,PC 17611,133.65,S,5,0
1,1,male,43,1,0,17765,27.7208,C,5,1
1,1,female,29.8811345124283,1,0,PC 17611,133.65,S,5,0
1,1,female,22,0,2,13568,49.5,C,5,1
1,1,male,60,1,1,13567,79.2,C,5,1
1,1,female,48,1,1,13567,79.2,C,5,1
1,1,female,35,1,0,113803,53.1,S,D,1
1,1,female,35,0,0,113503,211.5,C,4,1
1,1,female,22,0,1,112378,59.4,C,7,0
1,1,female,45,0,1,112378,59.4,C,7,0
1,1,male,49,1,0,17453,89.1042,C,5,1
1,1,female,29.8811345124283,1,0,17453,89.1042,C,5,1
1,1,male,53,0,0,113780,28.5,C,B,1
1,1,female,19,0,0,112053,30,S,3,1
1,1,female,58,0,1,PC 17582,153.4625,S,3,1
1,1,male,23,0,1,PC 17759,63.3583,C,7,1
1,1,female,45,0,1,PC 17759,63.3583,C,7,1
1,1,male,25,1,0,11765,55.4417,C,5,1
1,1,female,25,1,0,11765,55.4417,C,5,1
1,1,male,48,1,0,PC 17572,76.7292,C,3,1
1,1,female,49,1,0,PC 17572,76.7292,C,3,1
1,1,female,35,1,0,36973,83.475,S,D,1
1,1,male,27,0,0,PC 17572,76.7292,C,3,1
1,1,male,29.8811345124283,0,0,16988,30,S,3,1
1,1,female,24,0,0,11767,83.1583,C,7,1
1,1,female,52,1,1,12749,93.5,S,3,1
1,1,female,16,0,1,111361,57.9792,C,4,1
1,1,female,44,0,1,111361,57.9792,C,4,1
1,1,female,51,1,0,13502,77.9583,S,10,1
1,1,female,35,1,0,113789,52,S,8,0
1,1,male,35,0,0,111426,26.55,C,15,0
1,1,male,38,1,0,19943,90,S,D,1
1,0,male,29.8811345124283,0,0,PC 17600,30.6958,C,14,0
1,1,female,35,1,0,19943,90,S,D,1
1,1,female,38,0,0,113572,80,S,6,1
1,1,male,49,0,0,112058,0,S,C,1
1,1,female,29.8811345124283,1,0,17464,51.8625,S,8,1
1,1,male,42,1,0,11753,52.5542,S,5,1
1,1,female,45,1,0,11753,52.5542,S,5,1
1,1,female,39,0,0,24160,211.3375,S,2,0
1,1,female,49,0,0,17465,25.9292,S,8,1
1,1,female,30,0,0,PC 17761,106.425,C,2,0
1,1,male,35,0,0,PC 17755,512.3292,C,3,1
1,1,female,55,0,0,112377,27.7208,C,6,0
1,1,female,16,0,1,PC 17592,39.4,S,9,1
1,1,female,51,0,1,PC 17592,39.4,S,9,1
1,1,female,21,0,0,13502,77.9583,S,10,1
1,1,female,15,0,1,24160,211.3375,S,2,1
1,1,female,16,0,0,110152,86.5,S,8,1
1,1,male,29.8811345124283,0,0,11774,29.7,C,7,1
1,1,female,18,1,0,113773,53.1,S,10,1
1,1,female,24,0,0,PC 17482,49.5042,C,6,1
1,1,male,36,0,0,PC 17473,26.2875,S,7,1
1,1,female,29.8811345124283,1,0,PC 17604,82.1708,C,6,0
1,1,female,33,1,0,19928,90,Q,14,1
1,1,female,37,1,0,19928,90,Q,14,1
1,1,male,30,1,0,13236,57.75,C,11,1
1,1,female,31,1,0,35273,113.275,C,6,1
1,1,female,23,1,0,35273,113.275,C,6,1
1,1,female,19,0,2,11752,26.2833,S,5,1
1,1,female,39,0,0,PC 17758,108.9,C,8,1
1,1,male,29.8811345124283,0,0,F.C. 12998,25.7417,C,7,0
1,1,female,22,0,1,113509,61.9792,C,5,1
1,1,female,22,1,0,113776,66.6,S,8,1
1,1,female,17,1,0,PC 17758,108.9,C,8,1
1,1,female,30,0,0,12749,93.5,S,3,1
1,1,male,52,0,0,113786,30.5,S,6,1
1,1,female,56,0,1,11767,83.1583,C,7,1
1,1,male,29.8811345124283,0,0,PC 17607,39.6,S,A,0
1,1,female,43,0,1,24160,211.3375,S,2,1
1,1,male,45,0,0,111428,26.55,S,9,0
1,1,female,33,0,0,PC 17613,27.7208,C,11,1
1,1,female,33,0,0,110152,86.5,S,8,1
1,1,female,54,1,0,PC 17603,59.4,C,6,0
1,1,male,13,2,2,PC 17608,262.375,C,4,1
1,1,female,18,2,2,PC 17608,262.375,C,4,1
1,1,female,21,2,2,PC 17608,262.375,C,4,1
1,1,female,48,1,3,PC 17608,262.375,C,4,1
1,1,male,29.8811345124283,0,0,19988,30.5,S,3,1
1,1,female,24,0,0,PC 17477,69.3,C,9,1
1,1,male,29.8811345124283,0,0,111163,26,S,1,0
1,1,female,35,1,0,13236,57.75,C,11,1
1,1,female,30,0,0,113798,31,C,4,0
1,1,male,34,0,0,113794,26.55,S,7,0
1,1,female,40,0,0,PC 17582,153.4625,S,3,1
1,1,male,35,0,0,PC 17475,26.2875,S,5,1
1,1,female,39,1,0,13507,55.9,S,11,1
1,1,male,56,0,0,13213,35.5,C,3,1
1,1,male,28,0,0,113788,35.5,S,7,1
1,1,female,18,1,0,13695,60,S,6,1
1,1,male,24,1,0,21228,82.2667,S,7,1
1,1,female,23,1,0,21228,82.2667,S,7,1
1,1,male,6,0,2,16966,134.5,C,3,1
1,1,male,45,1,1,16966,134.5,C,3,1
1,1,female,40,1,1,16966,134.5,C,3,1
1,1,female,29.8811345124283,1,0,PC 17569,146.5208,C,6,1
1,1,male,32,0,0,13214,30.5,C,3,1
1,1,male,54,1,0,11778,55.4417,C,1,1
1,1,female,43,1,0,11778,55.4417,C,5,1
1,1,female,52,1,0,36947,78.2667,C,4,1
1,1,female,62,0,0,113572,80,S,6,1
1,1,female,48,0,0,17466,25.9292,S,8,1
1,1,female,18,0,2,110413,79.65,S,8,1
1,1,female,39,1,1,110413,79.65,S,8,1
1,1,male,48,1,0,19996,52,S,5 7,1
1,1,female,29.8811345124283,1,0,19996,52,S,5 7,1
1,1,male,17,0,2,17421,110.8833,C,B,1
1,1,female,39,1,1,17421,110.8833,C,4,1
1,1,female,29.8811345124283,0,0,PC 17585,79.2,C,D,0
1,1,male,31,0,0,2543,28.5375,C,7,1
1,1,female,35,0,0,PC 17755,512.3292,C,3,0
1,1,female,60,1,0,110813,75.25,C,5,1
1,1,female,55,0,0,PC 17760,135.6333,C,8,1
1,1,female,31,0,2,36928,164.8667,S,8,1
1,1,female,45,1,1,36928,164.8667,S,8,0
1,1,female,50,1,1,113503,211.5,C,4,1
1,1,female,21,0,0,113795,26.55,S,8 10,0
1,1,male,21,0,1,PC 17597,61.3792,C,A,0
1,1,female,31,0,0,16966,134.5,C,3,1
1,1,male,29.8811345124283,0,0,19947,35.5,S,D,1
1,1,female,36,0,0,PC 17760,135.6333,C,8,1
2,1,female,28,1,0,P/PP 3381,24,C,10,0
2,1,female,36,1,0,226875,26,S,11,0
2,1,female,36,0,0,28551,13,S,10,1
2,1,male,32,1,0,2908,26,S,13,0
2,1,female,19,1,0,2908,26,S,13,0
2,1,male,1,2,1,230136,39,S,11,1
2,1,female,4,2,1,230136,39,S,11,1
2,1,female,12,2,1,230136,39,S,13,1
2,1,female,36,0,3,230136,39,S,11,1
2,1,male,34,0,0,248698,13,S,13,1
2,1,female,19,0,0,28404,13,S,12,0
2,1,female,24,0,0,248733,13,S,11,1
2,1,female,15,0,2,29750,39,S,14,0
2,1,female,40,1,1,29750,39,S,14,0
2,1,female,20,1,0,236853,26,S,12,0
2,1,female,36,0,0,27849,13,S,9,0
2,1,male,0.8333,0,2,248738,29,S,13,0
2,1,male,26,1,1,248738,29,S,13,0
2,1,female,22,1,1,248738,29,S,13,0
2,1,female,35,0,0,F.C.C. 13528,21,S,14,0
2,1,female,25,1,1,237789,30,S,12,0
2,1,female,45,0,2,237789,30,S,12,0
2,1,female,28,1,0,2003,26,S,14,0
2,1,male,24,0,0,28034,10.5,S,9,0
2,1,female,8,0,2,C.A. 31921,26.25,S,14,0
2,1,female,31,1,1,C.A. 31921,26.25,S,14,0
2,1,female,22,0,0,W./C. 14266,10.5,S,14,1
2,1,male,8,1,1,C.A. 33112,36.75,S,14,0
2,1,female,48,0,2,C.A. 33112,36.75,S,14,0
2,1,female,28,0,0,237668,13,S,13,0
2,1,female,24,1,0,SC/PARIS 2167,27.7208,C,12,0
2,1,male,8,0,2,28220,32.5,S,10,0
2,1,female,34,1,1,28220,32.5,S,10,0
2,1,female,27,1,0,SC/PARIS 2149,13.8583,C,12,0
2,1,female,30,1,0,SC/PARIS 2148,13.8583,C,12,0
2,1,female,29,1,0,2926,26,S,16,0
2,1,female,34,0,0,243880,13,S,12,0
2,1,male,0.6667,1,1,250649,14.5,S,4,0
2,1,female,24,0,2,250649,14.5,S,4,0
2,1,female,6,0,1,248727,33,S,11,0
2,1,male,62,0,0,S.W./PP 752,10.5,S,15,0
2,1,female,7,0,2,F.C.C. 13529,26.25,S,14,0
2,1,female,45,1,1,F.C.C. 13529,26.25,S,14,0
2,1,female,24,1,2,220845,65,S,9,0
2,1,female,24,1,2,220845,65,S,9,0
2,1,female,48,1,2,220845,65,S,9,0
2,1,female,55,0,0,248706,16,S,13,0
2,1,female,20,2,1,29105,23,S,4,0
2,1,female,54,1,3,29105,23,S,4,0
2,1,female,29,1,0,26707,26,S,10,0
2,1,male,42,0,0,237798,13,S,10,0
2,1,female,24,2,1,243847,27,S,12,0
2,1,female,23,0,0,SC/AH Basle 541,13.7917,C,11,1
2,1,female,24,1,0,244367,26,S,12,0
2,1,female,29.8811345124283,0,0,226593,12.35,Q,10,1
2,1,female,45,0,0,223596,13.5,S,9,0
2,1,female,1,1,2,SC/Paris 2123,41.5792,C,14,0
2,1,female,3,1,2,SC/Paris 2123,41.5792,C,14,0
2,1,female,22,1,2,SC/Paris 2123,41.5792,C,14,0
2,1,female,17,0,0,SC 1748,12,C,12,0
2,1,female,29.8811345124283,0,0,248727,33,S,11,0
2,1,female,34,0,0,C.A. 34260,10.5,S,14,1
2,1,male,1,0,2,S.C./PARIS 2079,37.0042,C,10,0
2,1,female,24,1,1,S.C./PARIS 2079,37.0042,C,10,0
2,1,female,13,0,1,250644,19.5,S,14,0
2,1,female,41,0,1,250644,19.5,S,14,0
2,1,male,19,0,0,SW/PP 751,10.5,S,B,0
2,1,male,2,1,1,230080,26,S,D,1
2,1,male,3,1,1,230080,26,S,D,1
2,1,male,20,0,0,SC/PARIS 2166,13.8625,C,7,1
2,1,female,29,0,0,C.A. 29395,10.5,S,11,1
2,1,male,22,0,0,W./C. 14260,10.5,S,13,0
2,1,male,29.8811345124283,0,0,SC/PARIS 2146,13.8625,C,9,0
2,1,male,29,0,0,SC/PARIS 2147,13.8583,C,9,0
2,1,female,50,0,1,230433,26,S,12,0
2,1,female,21,0,1,S.O./P.P. 2,21,S,12,0
2,1,female,19,0,0,250655,26,S,11,0
2,1,female,32,0,0,234604,13,S,9,0
2,1,male,30,0,0,C.A. 34644,12.7375,C,14,0
2,1,female,2,1,1,26360,26,S,11,0
2,1,female,8,1,1,26360,26,S,11,0
2,1,female,33,0,2,26360,26,S,11,0
2,0,male,34,1,0,31027,21,S,12,0
2,1,female,28,0,0,230434,13,S,9,0
2,1,male,0.8333,1,1,29106,18.75,S,4,0
2,1,male,3,1,1,29106,18.75,S,4,0
2,1,female,24,2,3,29106,18.75,S,4,0
2,1,female,50,0,0,W./C. 14258,10.5,S,13,0
2,1,female,21,0,0,C.A. 31026,10.5,S,12,0
2,1,female,25,0,1,230433,26,S,12,0
2,1,female,18,0,2,250652,13,S,16,0
2,1,female,20,0,0,C.A. 33112,36.75,S,11,0
2,1,female,30,0,0,250648,13,S,10,0
2,1,female,30,0,0,234818,12.35,Q,13,0
2,1,female,40,0,0,31418,13,S,9,0
2,1,female,50,0,0,F.C.C. 13531,10.5,S,9,0
2,1,female,27,0,0,34218,10.5,S,16,1
2,1,female,31,0,0,F.C.C. 13528,21,S,14,0
2,1,female,31,0,0,CA 31352,21,S,10,0
2,1,female,12,0,0,C.A. 33595,15.75,S,9,0
2,1,female,40,0,0,C.A. 33595,15.75,S,9,0
2,1,female,32.5,0,0,27267,13,S,12,1
2,1,female,29,1,0,228414,26,S,10,0
2,1,male,2,1,1,29103,23,S,14,0
2,1,female,4,1,1,29103,23,S,14,0
2,1,female,29,0,2,29103,23,S,14,0
2,1,female,0.9167,1,2,C.A. 34651,27.75,S,10,0
2,1,female,5,1,2,C.A. 34651,27.75,S,10,0
2,1,female,33,1,2,C.A. 34651,27.75,S,10,0
2,1,male,31,0,0,244270,13,S,9,0
2,1,male,29.8811345124283,0,0,244373,13,S,14,0
2,1,female,26,0,0,220844,13.5,S,9,0
3,1,female,35,1,1,C.A. 2673,20.25,S,A,0
3,1,female,16,0,0,348125,7.65,S,16,0
3,1,male,25,0,0,348122,7.65,S,A,1
3,1,male,20,0,0,SOTON/O2 3101284,7.925,S,15,0
3,1,female,18,0,0,2657,7.2292,C,C,0
3,1,male,0.8333,0,1,392091,9.35,S,11,0
3,1,female,18,0,1,392091,9.35,S,13,0
3,1,male,26,0,0,2699,18.7875,C,15,0
3,1,female,19,1,0,350046,7.8542,S,16,0
3,1,female,17,4,2,3101281,7.925,S,D,0
3,1,male,27,0,0,350043,7.7958,S,A,0
3,1,male,3,4,2,347077,31.3875,S,15,0
3,1,female,5,4,2,347077,31.3875,S,15,0
3,1,male,23,0,0,350054,7.7958,S,13,0
3,1,female,38,1,5,347077,31.3875,S,15,0
3,1,female,45,0,0,2696,7.225,C,C,0
3,1,female,13,0,0,2687,7.2292,C,C,0
3,0,male,32,1,0,3101278,15.85,S,D,0
3,1,female,0.75,2,1,2666,19.2583,C,C,0
3,1,female,0.75,2,1,2666,19.2583,C,C,0
3,1,female,5,2,1,2666,19.2583,C,C,0
3,1,female,24,0,3,2666,19.2583,C,C,0
3,1,female,18,0,0,A/4 31416,8.05,S,C,0
3,1,male,20,0,0,2663,7.2292,C,15,0
3,1,male,32,0,0,1601,56.4958,S,C,0
3,1,female,22,0,0,334914,7.725,Q,13,0
3,1,male,21,0,0,330920,7.8208,Q,13,0
3,1,female,16,0,0,367231,7.75,Q,16,0
3,1,male,32,0,0,1601,56.4958,S,C,0
3,1,male,18,0,0,A/5 3540,8.05,S,12,0
3,1,female,22,0,0,370373,7.75,Q,13,0
3,1,male,9,1,1,C.A. 37671,15.9,S,2,0
3,1,male,3,1,1,C.A. 37671,15.9,S,2,0
3,1,female,36,0,2,C.A. 37671,15.9,S,2,0
3,1,female,17,0,1,371362,16.1,S,12,0
3,1,male,45,0,0,7598,8.05,S,15,0
3,1,female,30,0,0,382650,6.95,Q,15,0
3,1,male,29,0,0,382651,7.75,Q,13 15 B,0
3,1,female,29.8811345124283,1,0,386525,16.1,S,16,0
3,1,male,36.5,1,0,345572,17.4,S,15,0
3,1,female,36,1,0,345572,17.4,S,13,0
3,1,male,30,0,0,345774,9.5,S,11,0
3,1,male,1,1,2,C.A. 2315,20.575,S,10,0
3,1,female,0.1667,1,2,C.A. 2315,20.575,S,10,0
3,1,female,33,1,2,C.A. 2315,20.575,S,10,0
3,1,female,19,0,0,330958,7.8792,Q,C,0
3,1,male,19,0,0,A/5. 10482,8.05,S,B,0
3,1,female,30,0,0,364516,12.475,S,13,0
3,1,male,24,0,0,S.O./P.P. 752,7.55,S,D,0
3,1,female,22,1,0,347072,13.9,S,16,0
3,1,female,5,0,0,364516,12.475,S,13,0
3,1,male,29.8811345124283,0,0,SOTON/O.Q. 3101308,7.05,S,15,0
3,1,male,29.8811345124283,0,0,1601,56.4958,S,13,0
3,1,female,16,0,0,35851,7.7333,Q,16,0
3,1,female,29.8811345124283,0,0,335677,7.75,Q,13,0
3,1,male,9,0,2,363291,20.525,S,C D,0
3,1,female,31,1,1,363291,20.525,S,C D,0
3,1,female,24,1,0,STON/O2. 3101279,15.85,S,15,0
3,1,female,45,1,0,350026,14.1083,S,11,0
3,0,male,25,0,0,374887,7.25,S,B,0
3,1,female,29.8811345124283,0,0,370375,7.75,Q,16,0
3,1,male,27,0,0,347089,6.975,S,15,0
3,1,male,29.8811345124283,0,0,1601,56.4958,S,C,0
3,1,female,22,0,0,7548,8.9625,S,C,0
3,1,female,2,0,1,3101298,12.2875,S,15,0
3,1,female,22,1,1,3101298,12.2875,S,15,0
3,1,female,29.8811345124283,0,0,A. 2. 39186,8.05,S,C,0
3,1,male,29.8811345124283,0,0,3470,7.8875,S,C,0
3,1,male,29,0,0,349240,7.8958,C,15,0
3,1,male,21,0,0,350034,7.7958,S,A,0
3,1,female,29.8811345124283,0,0,14313,7.75,Q,D,0
3,1,male,29.8811345124283,0,0,65306,8.1125,S,13,0
3,1,male,26,0,0,347070,7.775,S,15,0
3,1,male,4,1,1,347742,11.1333,S,15,0
3,1,female,1,1,1,347742,11.1333,S,15,0
3,1,female,27,0,2,347742,11.1333,S,15,0
3,1,male,32,0,0,350417,7.8542,S,15,0
3,1,male,32,0,0,STON/O 2. 3101286,7.925,S,15,0
3,1,male,21,0,0,350053,7.7958,S,13,0
3,1,female,4,0,1,349256,13.4167,C,15,0
3,1,male,39,0,1,349256,13.4167,C,15,0
3,0,male,29.8811345124283,0,0,323592,7.25,S,A,0
3,1,female,29.8811345124283,0,0,9234,7.75,Q,16,0
3,1,female,29.8811345124283,0,0,14312,7.75,Q,D,0
3,1,female,4,0,2,315153,22.025,S,2,0
3,1,male,29,3,1,315153,22.025,S,2,0
3,1,female,26,1,1,315153,22.025,S,2,0
3,1,male,25,0,0,2654,7.2292,C,10,1
3,1,male,29.8811345124283,0,0,1601,56.4958,S,C,0
3,1,female,22,0,0,C 7077,7.25,S,13,0
3,1,male,26,0,0,1601,56.4958,S,14,0
3,1,male,22,0,0,2620,7.225,C,6,0
3,0,male,36,1,0,349910,15.55,S,A,0
3,0,female,30,1,0,349910,15.55,S,A,0
3,1,male,20,1,0,STON/O 2. 3101285,7.925,S,15,0
3,1,male,27,0,0,315098,8.6625,S,15,0
3,1,female,23,0,0,347469,7.8542,S,10,0
3,1,male,32,0,0,350403,7.5792,S,15,0
3,1,female,29.8811345124283,0,0,370370,7.75,Q,15,0
3,1,male,24,0,0,C 17369,7.1417,S,13,0
3,1,male,29.8811345124283,0,0,2677,7.2292,C,15,0
3,1,female,29.8811345124283,0,0,36866,7.7375,Q,16,0
3,1,female,29.8811345124283,0,0,2649,7.225,C,C,0
3,1,female,29.8811345124283,0,0,383123,7.75,Q,15 16,0
3,1,female,29.8811345124283,2,0,367226,23.25,Q,16,0
3,1,female,29.8811345124283,2,0,367226,23.25,Q,16,0
3,1,male,29.8811345124283,2,0,367226,23.25,Q,16,0
3,1,female,29.8811345124283,0,0,330932,7.7875,Q,13,0
3,1,female,29.8811345124283,0,0,330931,7.8792,Q,13,0
3,1,male,21,0,0,345501,7.775,S,15,0
3,1,female,29.8811345124283,0,0,330980,7.8792,Q,16,0
3,1,male,6,0,1,392096,12.475,S,14,1
3,1,female,27,0,1,392096,12.475,S,14,1
3,1,female,29.8811345124283,1,0,371110,24.15,Q,16,0
3,1,male,29.8811345124283,0,0,312991,7.775,S,B,0
3,1,male,29.8811345124283,1,1,2661,15.2458,C,C,0
3,1,male,29.8811345124283,1,1,2661,15.2458,C,C,0
3,1,female,29.8811345124283,0,2,2661,15.2458,C,C,0
3,1,female,29.8811345124283,0,0,35852,7.7333,Q,16,0
3,1,female,24,0,0,382653,7.75,Q,15,0
3,1,female,29.8811345124283,1,0,367230,15.5,Q,16,0
3,1,female,29.8811345124283,1,0,367230,15.5,Q,16,0
3,1,female,29.8811345124283,0,0,36568,15.5,Q,16,0
3,1,female,15,0,0,2667,7.225,C,C,0
3,1,female,1,0,2,2653,15.7417,C,C,0
3,1,male,20,1,1,2653,15.7417,C,C,0
3,1,female,19,1,1,2653,15.7417,C,C,0
3,1,male,12,1,0,2651,11.2417,C,C,0
3,1,female,14,1,0,2651,11.2417,C,C,0
3,1,female,18,0,0,347066,7.775,S,D,0
3,1,female,26,0,0,347470,7.8542,S,13,0
3,1,male,39,0,0,STON/O 2. 3101289,7.925,S,9,0
3,1,female,22,0,0,347081,7.75,S,13,0
3,1,female,29.8811345124283,0,0,14311,7.75,Q,D,0
3,1,female,22,0,0,347085,7.775,S,C,0
3,1,male,29.8811345124283,0,0,368402,7.75,Q,B,0
3,1,female,29.8811345124283,0,0,330919,7.8292,Q,13,0
3,1,male,9,0,1,C 17368,3.1708,S,13,0
3,1,male,32,0,0,347079,7.775,S,A,0
3,1,male,25,1,0,347083,7.775,S,15,0
3,1,male,29.8811345124283,1,1,2668,22.3583,C,C,0
3,1,female,29.8811345124283,1,1,2668,22.3583,C,D,1
3,1,female,29.8811345124283,0,2,2668,22.3583,C,D,0
3,1,male,32,0,0,SOTON/O.Q. 392078,8.05,S,9,1
3,1,female,29.8811345124283,0,0,334915,7.7208,Q,13,0
3,1,female,29.8811345124283,0,0,342712,8.05,S,C,0
3,1,male,29.8811345124283,0,0,383162,7.75,Q,14,0
3,1,female,21,0,0,343120,7.65,S,C,0
3,1,female,1,1,1,PP 9549,16.7,S,13,1
3,1,female,24,0,2,PP 9549,16.7,S,13,1
3,1,female,4,1,1,PP 9549,16.7,S,13,1
3,1,male,25,0,0,345768,9.5,S,11,0
3,1,male,29,0,0,345779,9.5,S,11,0
3,1,female,18,0,0,3101265,7.4958,S,16,0
3,1,female,29.8811345124283,0,0,335432,7.7333,Q,13,0
3,1,female,23,0,0,CA. 2314,7.55,S,C,0
3,1,male,31,0,0,STON/O 2. 3101288,7.925,S,9,0
3,1,male,16,0,0,SOTON/OQ 392089,8.05,S,B,0
3,1,male,44,0,0,STON/O 2. 3101269,7.925,S,15,0
3,1,male,14,0,0,7538,9.225,S,13,0
3,1,male,25,0,0,350033,7.7958,S,13 15,0
3,1,male,0.4167,0,1,2625,8.5167,C,16,0
3,1,female,16,1,1,2625,8.5167,C,14,0
3,1,female,29.8811345124283,1,0,376564,16.1,S,10,0
3,1,male,25,0,0,LINE,0,S,15,0
3,1,male,7,1,1,2650,15.2458,C,C,0
3,1,female,9,1,1,2650,15.2458,C,C,0
3,1,female,29,0,2,2650,15.2458,C,C,0
3,1,female,18,0,0,4138,9.8417,S,15,0
3,1,female,63,0,0,4134,9.5875,S,15,0
3,1,male,22,0,0,2658,7.225,C,13 15,0
3,1,female,38,0,0,2688,7.2292,C,C,0
3,0,male,27,1,0,2659,14.4542,C,C,0
