pclass,survived,sex,age,ticket,fare,embarked
0,1,0,55.0,13,27.7208,0
0,1,0,16.0,283,39.4,2
0,1,0,51.0,283,39.4,2
0,1,0,21.0,53,77.9583,2
0,1,0,15.0,99,211.3375,2
0,1,0,16.0,0,86.5,2
0,1,1,29.881134512428304,44,29.7,0
0,1,0,18.0,22,53.1,2
0,1,0,24.0,275,49.5042,0
0,1,1,36.0,270,26.2875,2
0,1,0,29.881134512428304,290,82.1708,0
0,1,0,33.0,74,90.0,1
0,1,0,37.0,74,90.0,1
0,1,1,30.0,52,57.75,0
0,1,0,31.0,207,113.275,0
0,1,0,23.0,207,113.275,0
0,1,0,19.0,37,26.2833,2
0,1,0,39.0,300,108.9,0
0,1,1,29.881134512428304,264,25.7417,0
0,1,0,22.0,19,61.9792,0
0,1,0,22.0,23,66.6,2
0,1,0,17.0,300,108.9,0
0,1,0,30.0,48,93.5,2
0,1,1,52.0,27,30.5,2
0,1,0,56.0,41,83.1583,0
0,1,1,29.881134512428304,292,39.6,2
0,1,0,43.0,99,211.3375,2
0,1,1,45.0,9,26.55,2
0,1,0,33.0,296,27.7208,0
0,1,0,33.0,0,86.5,2
0,1,0,54.0,289,59.4,0
0,1,1,13.0,293,262.375,0
0,1,0,18.0,293,262.375,0
0,1,0,21.0,293,262.375,0
0,1,0,48.0,293,262.375,0
0,1,1,29.881134512428304,79,30.5,2
0,1,0,24.0,274,69.3,0
0,1,1,29.881134512428304,4,26.0,2
0,1,0,35.0,52,57.75,0
0,1,0,30.0,32,31.0,0
0,1,1,34.0,30,26.55,2
0,1,0,40.0,281,153.4625,2
0,1,1,35.0,272,26.2875,2
0,1,0,39.0,54,55.9,2
0,1,1,56.0,50,35.5,0
0,1,1,28.0,28,35.5,2
0,1,0,18.0,58,60.0,2
0,1,1,24.0,82,82.2667,2
0,1,0,23.0,82,82.2667,2
0,1,1,6.0,63,134.5,0
0,1,1,45.0,63,134.5,0
0,1,0,40.0,63,134.5,0
0,1,0,29.881134512428304,279,146.5208,0
0,1,1,32.0,51,30.5,0
0,1,1,54.0,45,55.4417,0
0,1,0,43.0,45,55.4417,0
0,1,0,52.0,219,78.2667,0
0,1,0,62.0,20,80.0,2
0,1,0,48.0,69,25.9292,2
0,1,0,18.0,1,79.65,2
0,1,0,39.0,1,79.65,2
0,1,1,48.0,80,52.0,2
0,1,0,29.881134512428304,80,52.0,2
0,1,1,17.0,65,110.8833,0
0,1,0,39.0,65,110.8833,0
0,1,0,29.881134512428304,282,79.2,0
0,1,1,31.0,115,28.5375,0
0,1,0,35.0,297,512.3292,0
0,1,0,60.0,3,75.25,0
0,1,0,55.0,302,135.6333,0
0,1,0,31.0,218,164.8667,2
0,1,0,45.0,218,164.8667,2
0,1,0,50.0,17,211.5,0
0,1,0,21.0,31,26.55,2
0,1,1,21.0,285,61.3792,0
0,1,0,31.0,63,134.5,0
0,1,1,29.881134512428304,76,35.5,2
0,1,0,36.0,302,135.6333,0
1,1,0,28.0,269,24.0,0
1,1,0,36.0,87,26.0,2
1,1,0,36.0,144,13.0,2
1,1,1,32.0,145,26.0,2
1,1,0,19.0,145,26.0,2
1,1,1,1.0,90,39.0,2
1,1,0,4.0,90,39.0,2
1,1,0,12.0,90,39.0,2
1,1,0,36.0,90,39.0,2
1,1,1,34.0,105,13.0,2
1,1,0,19.0,143,13.0,2
1,1,0,24.0,108,13.0,2
1,1,0,15.0,150,39.0,2
1,1,0,40.0,150,39.0,2
1,1,0,20.0,95,26.0,2
1,1,0,36.0,140,13.0,2
1,1,1,0.8333,109,29.0,2
1,1,1,26.0,109,29.0,2
1,1,0,22.0,109,29.0,2
1,1,0,35.0,265,21.0,2
1,1,0,25.0,97,30.0,2
1,1,0,45.0,97,30.0,2
1,1,0,28.0,81,26.0,2
1,1,1,24.0,141,10.5,2
1,1,0,8.0,254,26.25,2
1,1,0,31.0,254,26.25,2
1,1,0,22.0,331,10.5,2
1,1,1,8.0,255,36.75,2
1,1,0,48.0,255,36.75,2
1,1,0,28.0,96,13.0,2
1,1,0,24.0,316,27.7208,0
1,1,1,8.0,142,32.5,2
1,1,0,34.0,142,32.5,2
1,1,0,27.0,314,13.8583,0
1,1,0,30.0,313,13.8583,0
1,1,0,29.0,149,26.0,2
1,1,0,34.0,101,13.0,2
1,1,1,0.6667,112,14.5,2
1,1,0,24.0,112,14.5,2
1,1,0,6.0,107,33.0,2
1,1,1,62.0,308,10.5,2
1,1,0,7.0,266,26.25,2
1,1,0,45.0,266,26.25,2
1,1,0,24.0,84,65.0,2
1,1,0,24.0,84,65.0,2
1,1,0,48.0,84,65.0,2
1,1,0,55.0,106,16.0,2
1,1,0,20.0,147,23.0,2
1,1,0,54.0,147,23.0,2
1,1,0,29.0,132,26.0,2
1,1,1,42.0,98,13.0,2
1,1,0,24.0,100,27.0,2
1,1,0,23.0,310,13.7917,0
1,1,0,24.0,103,26.0,2
1,1,0,29.881134512428304,86,12.35,1
1,1,0,45.0,85,13.5,2
1,1,0,1.0,317,41.5792,0
1,1,0,3.0,317,41.5792,0
1,1,0,22.0,317,41.5792,0
1,1,0,17.0,309,12.0,0
1,1,0,29.881134512428304,107,33.0,2
1,1,0,34.0,257,10.5,2
1,1,1,1.0,305,37.0042,0
1,1,0,24.0,305,37.0042,0
1,1,0,13.0,110,19.5,2
1,1,0,41.0,110,19.5,2
1,1,1,19.0,328,10.5,2
1,1,1,2.0,89,26.0,2
1,1,1,3.0,89,26.0,2
1,1,1,20.0,315,13.8625,0
1,1,0,29.0,252,10.5,2
1,1,1,22.0,330,10.5,2
1,1,1,29.881134512428304,311,13.8625,0
1,1,1,29.0,312,13.8583,0
1,1,0,50.0,91,26.0,2
1,1,0,21.0,306,21.0,2
1,1,0,19.0,114,26.0,2
1,1,0,32.0,93,13.0,2
1,1,1,30.0,258,12.7375,0
1,1,0,2.0,118,26.0,2
1,1,0,8.0,118,26.0,2
1,1,0,33.0,118,26.0,2
1,0,1,34.0,155,21.0,2
1,1,0,28.0,92,13.0,2
1,1,1,0.8333,148,18.75,2
1,1,1,3.0,148,18.75,2
1,1,0,24.0,148,18.75,2
1,1,0,50.0,329,10.5,2
1,1,0,21.0,253,10.5,2
1,1,0,25.0,91,26.0,2
1,1,0,18.0,113,13.0,2
1,1,0,20.0,255,36.75,2
1,1,0,30.0,111,13.0,2
1,1,0,30.0,94,12.35,1
1,1,0,40.0,157,13.0,2
1,1,0,50.0,267,10.5,2
1,1,0,27.0,172,10.5,2
1,1,0,31.0,265,21.0,2
1,1,0,31.0,261,21.0,2
1,1,0,12.0,256,15.75,2
1,1,0,40.0,256,15.75,2
1,1,0,32.5,139,13.0,2
1,1,0,29.0,88,26.0,2
1,1,1,2.0,146,23.0,2
1,1,0,4.0,146,23.0,2
1,1,0,29.0,146,23.0,2
1,1,0,0.9167,259,27.75,2
1,1,0,5.0,259,27.75,2
1,1,0,33.0,259,27.75,2
1,1,1,31.0,102,13.0,2
1,1,1,29.881134512428304,104,13.0,2
1,1,0,26.0,83,13.5,2
2,1,0,35.0,251,20.25,2
2,1,0,16.0,194,7.65,2
2,1,1,25.0,193,7.65,2
2,1,1,20.0,320,7.925,2
2,1,0,18.0,124,7.2292,0
2,1,1,0.8333,234,9.35,2
2,1,0,18.0,234,9.35,2
2,1,1,26.0,137,18.7875,0
2,1,0,19.0,202,7.8542,2
2,1,0,17.0,153,7.925,2
2,1,1,27.0,201,7.7958,2
2,1,1,3.0,184,31.3875,2
2,1,0,5.0,184,31.3875,2
2,1,1,23.0,204,7.7958,2
2,1,0,38.0,184,31.3875,2
2,1,0,45.0,136,7.225,0
2,1,0,13.0,134,7.2292,0
2,0,1,32.0,152,15.85,2
2,1,0,0.75,129,19.2583,0
2,1,0,0.75,129,19.2583,0
2,1,0,5.0,129,19.2583,0
2,1,0,24.0,129,19.2583,0
2,1,0,18.0,244,8.05,2
2,1,1,20.0,128,7.2292,0
2,1,1,32.0,62,56.4958,2
2,1,0,22.0,167,7.725,1
2,1,1,21.0,162,7.8208,1
2,1,0,16.0,215,7.75,1
2,1,1,32.0,62,56.4958,2
2,1,1,18.0,245,8.05,2
2,1,0,22.0,222,7.75,1
2,1,1,9.0,260,15.9,2
2,1,1,3.0,260,15.9,2
2,1,0,36.0,260,15.9,2
2,1,0,17.0,225,16.1,2
2,1,1,45.0,241,8.05,2
2,1,0,30.0,228,6.95,1
2,1,1,29.0,229,7.75,1
2,1,0,29.881134512428304,233,16.1,2
2,1,1,36.5,176,17.4,2
2,1,0,36.0,176,17.4,2
2,1,1,30.0,178,9.5,2
2,1,1,1.0,250,20.575,2
2,1,0,0.1667,250,20.575,2
2,1,0,33.0,250,20.575,2
2,1,0,19.0,165,7.8792,1
2,1,1,19.0,246,8.05,2
2,1,0,30.0,211,12.475,2
2,1,1,24.0,307,7.55,2
2,1,0,22.0,183,13.9,2
2,1,0,5.0,211,12.475,2
2,1,1,29.881134512428304,318,7.05,2
2,1,1,29.881134512428304,62,56.4958,2
2,1,0,16.0,208,7.7333,1
2,1,0,29.881134512428304,170,7.75,1
2,1,1,9.0,210,20.525,2
2,1,0,31.0,210,20.525,2
2,1,0,24.0,327,15.85,2
2,1,0,45.0,198,14.1083,2
2,0,1,25.0,226,7.25,2
2,1,0,29.881134512428304,223,7.75,1
2,1,1,27.0,189,6.975,2
2,1,1,29.881134512428304,62,56.4958,2
2,1,0,22.0,240,8.9625,2
2,1,0,2.0,154,12.2875,2
2,1,0,22.0,154,12.2875,2
2,1,0,29.881134512428304,243,8.05,2
2,1,1,29.881134512428304,180,7.8875,2
2,1,1,29.0,195,7.8958,0
2,1,1,21.0,200,7.7958,2
2,1,0,29.881134512428304,61,7.75,1
2,1,1,29.881134512428304,238,8.1125,2
2,1,1,26.0,182,7.775,2
2,1,1,4.0,192,11.1333,2
2,1,0,1.0,192,11.1333,2
2,1,0,27.0,192,11.1333,2
2,1,1,32.0,206,7.8542,2
2,1,1,32.0,324,7.925,2
2,1,1,21.0,203,7.7958,2
2,1,0,4.0,196,13.4167,0
2,1,1,39.0,196,13.4167,0
2,0,1,29.881134512428304,160,7.25,2
2,1,0,29.881134512428304,242,7.75,1
2,1,0,29.881134512428304,60,7.75,1
2,1,0,4.0,159,22.025,2
2,1,1,29.0,159,22.025,2
2,1,0,26.0,159,22.025,2
2,1,1,25.0,123,7.2292,0
2,1,1,29.881134512428304,62,56.4958,2
2,1,0,22.0,249,7.25,2
2,1,1,26.0,62,56.4958,2
2,1,1,22.0,116,7.225,0
2,0,1,36.0,197,15.55,2
2,0,0,30.0,197,15.55,2
2,1,1,20.0,323,7.925,2
2,1,1,27.0,158,8.6625,2
2,1,0,23.0,190,7.8542,2
2,1,1,32.0,205,7.5792,2
2,1,0,29.881134512428304,221,7.75,1
2,1,1,24.0,248,7.1417,2
2,1,1,29.881134512428304,133,7.2292,0
2,1,0,29.881134512428304,217,7.7375,1
2,1,0,29.881134512428304,119,7.225,0
2,1,0,29.881134512428304,231,7.75,1
2,1,0,29.881134512428304,213,23.25,1
2,1,0,29.881134512428304,213,23.25,1
2,1,1,29.881134512428304,213,23.25,1
2,1,0,29.881134512428304,164,7.7875,1
2,1,0,29.881134512428304,163,7.8792,1
2,1,1,21.0,175,7.775,2
2,1,0,29.881134512428304,166,7.8792,1
2,1,1,6.0,235,12.475,2
2,1,0,27.0,235,12.475,2
2,1,0,29.881134512428304,224,24.15,1
2,1,1,29.881134512428304,156,7.775,2
2,1,1,29.881134512428304,127,15.2458,0
2,1,1,29.881134512428304,127,15.2458,0
2,1,0,29.881134512428304,127,15.2458,0
2,1,0,29.881134512428304,209,7.7333,1
2,1,0,24.0,230,7.75,1
2,1,0,29.881134512428304,214,15.5,1
2,1,0,29.881134512428304,214,15.5,1
2,1,0,29.881134512428304,212,15.5,1
2,1,0,15.0,130,7.225,0
2,1,0,1.0,122,15.7417,0
2,1,1,20.0,122,15.7417,0
2,1,0,19.0,122,15.7417,0
2,1,1,12.0,121,11.2417,0
2,1,0,14.0,121,11.2417,0
2,1,0,18.0,181,7.775,2
2,1,0,26.0,191,7.8542,2
2,1,1,39.0,326,7.925,2
2,1,0,22.0,186,7.75,2
2,1,0,29.881134512428304,59,7.75,1
2,1,0,22.0,188,7.775,2
2,1,1,29.881134512428304,216,7.75,1
2,1,0,29.881134512428304,161,7.8292,1
2,1,1,9.0,247,3.1708,2
2,1,1,32.0,185,7.775,2
2,1,1,25.0,187,7.775,2
2,1,1,29.881134512428304,131,22.3583,0
2,1,0,29.881134512428304,131,22.3583,0
2,1,0,29.881134512428304,131,22.3583,0
2,1,1,32.0,319,8.05,2
2,1,0,29.881134512428304,168,7.7208,1
2,1,0,29.881134512428304,173,8.05,2
2,1,1,29.881134512428304,232,7.75,1
2,1,0,21.0,174,7.65,2
2,1,0,1.0,304,16.7,2
2,1,0,24.0,304,16.7,2
2,1,0,4.0,304,16.7,2
2,1,1,25.0,177,9.5,2
2,1,1,29.0,179,9.5,2
2,1,0,18.0,151,7.4958,2
2,1,0,29.881134512428304,169,7.7333,1
2,1,0,23.0,262,7.55,2
2,1,1,31.0,325,7.925,2
2,1,1,16.0,321,8.05,2
2,1,1,44.0,322,7.925,2
2,1,1,14.0,239,9.225,2
2,1,1,25.0,199,7.7958,2
2,1,1,0.4167,117,8.5167,0
2,1,0,16.0,117,8.5167,0
2,1,0,29.881134512428304,227,16.1,2
2,1,1,25.0,268,0.0,2
2,1,1,7.0,120,15.2458,0
2,1,0,9.0,120,15.2458,0
2,1,0,29.0,120,15.2458,0
2,1,0,18.0,237,9.8417,2
2,1,0,63.0,236,9.5875,2
2,1,1,22.0,125,7.225,0
2,1,0,38.0,135,7.2292,0
2,0,1,27.0,126,14.4542,0
